#Activity	sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting 
#ActivityID	5 7 8 6 5 7 8 6 5 7 8 6 5 
#Date 09-23-16-30
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9644	-3528	12152	-8	19	-23	-16656	184	-1240	15	3	13	-3600	-160	17008	20	1	-4	-10088	2656	13280	20	-1	-14	-16184	-1040	-1024	56	-12	1	-3632	1808	16440	1	-27	2	133	124	5
-9612	-3544	12156	-8	18	-25	-16688	640	-1392	47	0	25	-3600	64	16824	25	1	-22	-10024	2792	13112	18	-5	-20	-16112	-864	-928	62	-14	7	-3264	1776	16552	5	-22	-6	132	123	5
-9620	-3512	12144	-5	15	-23	-16392	688	-1440	50	-4	29	-3608	384	16560	17	-3	-18	-10104	2592	12800	20	-9	-23	-16184	-648	-1128	46	-11	6	-3520	1848	16360	5	-10	0	132	125	5
-9632	-3476	12324	-9	13	-25	-16600	896	-1648	22	-11	21	-3592	368	16624	16	-5	-3	-10128	2664	13072	19	-7	-18	-16032	-840	-1112	20	-5	0	-3456	1960	16528	1	-5	13	132	125	5
-9604	-3452	12300	-14	20	-24	-16480	976	-1296	-48	5	7	-3400	352	16744	6	-7	11	-9992	2632	13248	17	-4	-14	-16048	-672	-968	-28	6	-7	-3336	1952	16464	0	-9	22	132	124	5
-9580	-3460	12244	-16	18	-27	-16520	608	-1376	-72	9	3	-3832	120	16768	10	-4	16	-10160	2736	13216	16	-9	-16	-16288	-904	-928	-49	9	-15	-3512	2032	16464	4	-10	29	131	124	5
-9560	-3588	12160	-16	21	-28	-16752	368	-1552	-31	-1	4	-4096	32	16800	14	5	6	-10032	2624	13088	17	-7	-21	-16160	-704	-1112	-54	6	-16	-3784	2216	16304	4	-3	32	131	124	5
-9708	-3508	12192	-12	17	-26	-16576	176	-1608	23	-17	16	-4056	-88	16736	19	9	-2	-10152	2688	13192	13	1	-21	-16096	-1016	-1504	-50	2	-21	-3856	2264	16192	-7	0	29	131	126	5
-9676	-3520	12252	-8	18	-26	-16576	408	-1496	26	-14	18	-3608	80	16824	16	-1	-5	-10040	2688	12888	11	0	-23	-16112	-848	-1280	-30	-6	-26	-3928	2080	16192	-14	-5	36	131	124	5
-9616	-3512	12188	-13	19	-28	-16536	760	-1384	36	-18	21	-3408	104	16624	19	-14	1	-10008	2640	13120	2	-3	-30	-16040	-912	-1520	-10	-8	-25	-3776	1816	16336	-8	-15	36	132	125	5
-9624	-3496	12256	-14	17	-26	-16648	736	-1544	34	-10	10	-3424	248	16832	34	-10	11	-10192	2712	12976	9	-10	-25	-16000	-896	-1024	21	-16	-26	-3584	1848	16376	-30	-27	36	132	124	5
-9692	-3556	12296	-14	15	-27	-16624	576	-1368	13	-7	4	-3352	336	16672	41	-10	16	-10048	2568	12976	7	-9	-21	-16056	-1016	-1128	41	-14	-28	-3504	1664	16528	-18	-14	34	132	125	5
-9560	-3508	12216	-22	11	-27	-16744	504	-1152	-8	-8	-5	-3352	328	17064	24	-2	19	-10256	2608	13024	16	-8	-28	-16184	-936	-1328	41	-23	-20	-3496	1696	16392	-17	-3	31	132	124	5
