#Activity	sitting standing_up standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting 
#ActivityID	5 7 7 8 6 5 7 8 6 5 7 8 6 5 7 8 6 5 
#Date 09-23-16-27
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9560	-3080	12384	-10	12	-26	-16312	928	-3304	-10	5	11	-2960	488	16688	31	-1	8	-9968	2904	12904	1	-17	-24	-16128	264	-1952	4	4	-3	-3328	1656	16424	-3	-16	24	134	127	5
-9568	-3128	12308	-19	19	-20	-16440	816	-2816	-3	6	13	-3072	656	17096	31	3	10	-10016	3088	12888	2	-14	-23	-16160	240	-1992	1	4	-6	-3288	1536	16616	2	-14	24	134	128	5
-9616	-3092	12292	-14	17	-23	-16376	752	-3112	8	4	12	-3144	744	16896	33	1	13	-10144	3040	12880	7	-14	-24	-16272	424	-2104	4	1	-8	-3384	1728	16688	1	-18	21	134	127	5
-9576	-3116	12412	-19	18	-20	-16352	904	-2728	12	0	12	-3320	696	16976	36	-2	11	-10112	3000	13024	35	3	-16	-16176	416	-1944	7	7	-2	-3536	1656	16584	4	-18	19	134	128	5
-9584	-3112	12352	-12	16	-24	-16312	832	-3136	0	5	13	-3184	544	16896	22	4	9	-9976	2896	13224	39	2	-17	-16128	280	-2096	2	1	-4	-3416	1760	16544	2	-18	19	134	128	5
-9540	-3204	12336	-11	16	-27	-16400	912	-2952	11	2	17	-3200	600	16832	17	3	5	-10096	2984	13000	36	11	-19	-16008	408	-1952	-4	-2	-8	-3504	1776	16560	2	-17	23	134	128	5
-9568	-3176	12428	-15	20	-23	-16368	696	-3016	22	-5	16	-3456	672	16784	10	-2	-2	-10056	3016	12992	25	2	-20	-16024	464	-1992	-11	-4	-10	-3528	1760	16472	5	-16	25	134	128	5
-9612	-3128	12292	-8	20	-19	-16472	856	-2904	27	-9	20	-3360	600	16800	11	1	-1	-10112	3032	13128	14	7	-22	-16040	248	-2104	-14	-8	-19	-3528	1800	16584	2	-15	29	134	128	5
-9572	-3044	12328	-7	16	-20	-16440	1008	-3008	9	-7	20	-3376	576	16664	23	-5	-5	-10096	3024	13136	3	-3	-22	-16056	200	-2248	-13	-8	-17	-3488	1584	16544	-1	-15	27	134	128	5
-9584	-3160	12324	-11	18	-22	-16184	856	-3264	3	-11	19	-3376	728	16496	27	0	2	-10104	3040	13040	0	-5	-22	-16224	128	-2048	-4	-13	-17	-3576	1560	16704	-1	-14	29	134	128	5
-9568	-3188	12408	-9	14	-24	-16456	896	-3032	-10	-10	18	-3272	728	17008	31	1	5	-9904	2880	13016	-5	-15	-21	-16072	264	-1944	16	-20	-16	-3384	1640	16720	-3	-10	29	134	128	5
-9608	-3108	12312	-13	15	-27	-16264	904	-2864	1	-16	18	-3008	912	16664	26	0	3	-10040	3016	13184	-5	-7	-28	-16176	208	-1896	23	-23	-11	-3320	1472	16496	7	-10	26	134	127	5
-9556	-3052	12396	-8	14	-24	-16400	896	-2776	18	-18	17	-3272	688	16832	25	-8	1	-9952	2824	12928	13	-3	-16	-16080	144	-1800	24	-17	0	-3208	1408	16624	12	-11	23	134	127	5
-9588	-3148	12300	-15	12	-26	-16248	1032	-3000	20	-11	14	-3048	736	16936	17	-5	3	-10072	2912	12968	29	3	-15	-16064	184	-1768	14	-14	0	-3152	1592	16416	12	-15	18	134	128	5
