#Activity	standing up_by_elevator standing up_by_elevator down_by_elevator 
#ActivityID	8 10 8 10 11 
#Date 09-23-18-16
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8040	-2264	13720	-8	15	-17	-16208	1328	-1672	10	15	-14	-16048	2040	-2032	25	10	22	-8104	864	14816	78	-43	-158	-16504	32	-2256	18	-2	-2	-15960	-1992	-1992	35	-5	-4	126	113	8
-8028	-2312	13816	-11	22	-18	-16248	1464	-1560	10	15	-16	-16088	2024	-2080	29	6	28	-8168	704	14800	94	-65	-194	-16352	16	-2272	11	-1	1	-16072	-1928	-1624	47	-1	1	127	113	8
-8020	-2204	13568	-15	16	-21	-16128	1224	-1592	21	18	-10	-15936	1912	-2192	29	25	25	-8112	584	14896	92	-19	-167	-16480	-144	-2312	23	4	-3	-15992	-1864	-1632	65	-10	-3	127	113	8
-8048	-2280	13680	-14	15	-13	-16136	1184	-1544	26	18	-16	-15896	1928	-2360	13	24	18	-8120	664	14840	64	-7	-169	-16480	16	-2024	34	12	-4	-16112	-1792	-1712	71	-4	-8	126	114	8
-8084	-2272	13764	-7	15	-20	-16208	1352	-1576	28	21	-14	-16168	1880	-2248	10	25	22	-8040	728	14448	85	-11	-135	-16688	-8	-2160	26	5	2	-16160	-1688	-1640	69	9	0	126	114	8
-8124	-2192	13764	-9	14	-22	-16232	1480	-1336	25	25	-14	-16096	2000	-2176	16	32	21	-8008	744	14736	41	-13	-180	-16632	-48	-2120	15	-1	1	-16136	-1792	-1480	55	14	0	127	114	8
-8140	-2280	13672	-16	17	-22	-16104	1416	-1664	14	24	-12	-16080	1928	-2416	13	32	24	-8120	752	14872	73	13	-155	-16464	-96	-2248	6	1	-1	-16024	-1856	-1984	42	8	2	127	114	8
-8048	-2284	13700	-14	14	-20	-16056	1256	-1528	4	22	-11	-16000	1936	-2360	26	20	27	-8120	656	14744	53	43	-181	-16528	-160	-2120	13	3	-2	-16000	-1920	-1936	42	-2	-6	127	114	8
-8180	-2196	13680	-9	16	-17	-16136	1232	-1608	21	28	-14	-15920	1848	-2232	23	20	24	-8048	616	14944	75	-6	-215	-16384	-8	-2192	20	5	-2	-16112	-1992	-1568	39	-2	-2	127	114	8
-8028	-2212	13752	-7	13	-22	-16168	1304	-1560	27	29	-17	-15968	1936	-2272	25	15	20	-8312	440	15016	75	-55	-173	-16392	48	-2496	16	4	1	-16120	-1864	-1536	31	-6	-4	127	115	8
