#Activity	standing down_by_elevator standing down_by_elevator standing down_by_elevator 
#ActivityID	8 11 8 11 8 11 
#Date 09-23-18-15
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8224	-2400	13640	-8	20	-20	-16200	1328	-1448	-3	19	-7	-16128	1888	-2184	-25	33	12	-8200	800	14784	91	48	-187	-16648	-88	-1752	-6	23	-8	-16224	-1576	-1360	14	35	-24	127	123	8
-8124	-2240	13704	-14	20	-20	-16120	1296	-1648	-6	15	-11	-15984	1864	-2392	-39	28	4	-8224	840	14792	120	104	-217	-16480	-16	-1688	22	26	-4	-16048	-1584	-1688	2	34	-41	127	122	8
-8160	-2428	13948	-14	15	-23	-16040	1352	-1288	-22	12	-7	-15960	2064	-2144	-50	19	2	-8088	776	14528	117	35	-181	-16600	232	-1928	23	25	-3	-16088	-1720	-1352	-13	17	-58	127	122	8
-8016	-2092	13640	-10	13	-20	-16304	1056	-1264	-22	11	-17	-16080	2064	-2216	-56	14	-6	-8224	656	14816	63	10	-179	-16328	32	-1704	-1	26	4	-15888	-1728	-1288	-47	9	-47	127	122	8
-8128	-2332	13732	-12	17	-21	-16048	1408	-1416	-8	11	-12	-15992	2160	-1968	-58	16	-5	-8136	672	14696	77	23	-147	-16464	120	-1992	0	32	-5	-15880	-1880	-1264	-42	-5	-42	127	122	8
-7892	-2272	13508	-12	16	-19	-16208	1328	-1232	-8	17	-13	-16096	2136	-1848	-47	17	-5	-8168	664	14784	84	-56	-145	-16408	128	-1824	-8	36	-1	-16088	-1896	-1352	-12	0	-30	127	122	8
-8252	-2376	13776	-11	15	-23	-16208	1232	-1536	15	12	-13	-15880	1864	-2064	-47	33	2	-7976	688	14608	82	-63	-162	-16832	8	-1752	-10	31	0	-16080	-2032	-1512	25	11	-22	127	123	8
-7988	-2268	13616	-5	16	-19	-16096	1288	-1280	18	14	-10	-15872	1744	-2192	-22	30	12	-8136	816	14768	68	-22	-194	-16544	48	-2216	-7	28	0	-16160	-1960	-1744	54	19	-13	127	122	8
-8140	-2364	13796	-11	16	-21	-16216	1328	-1488	17	18	-14	-16088	1648	-2024	-6	19	18	-8256	704	14768	90	35	-182	-16576	-104	-2320	13	28	4	-16024	-1936	-1576	48	20	-4	127	122	8
-8000	-2324	13716	-9	11	-24	-16064	1176	-1296	5	24	-10	-16128	1712	-1920	24	25	21	-8088	816	14792	72	25	-158	-16512	-96	-1736	26	23	3	-16048	-1976	-1728	48	17	0	127	122	8
-8076	-2348	13616	-12	19	-25	-16112	1144	-1272	16	18	-9	-16072	1720	-2040	32	23	33	-8264	736	14808	89	-6	-152	-16488	40	-2248	18	9	6	-16160	-1880	-1624	60	13	-6	127	122	8
-8000	-2276	13736	-6	17	-16	-16408	1248	-1032	29	21	-5	-16104	1792	-2200	22	26	43	-8152	640	14744	135	-68	-165	-16680	8	-2024	38	8	6	-16152	-1992	-1576	66	16	4	127	123	8
-8116	-2344	13776	-10	20	-10	-16240	1160	-1512	39	15	-7	-16280	1976	-2328	8	34	42	-8112	752	14888	154	-4	-131	-16544	-96	-2048	39	3	9	-16040	-2016	-1352	71	10	5	127	122	8
-8072	-2384	13684	-10	24	-12	-16232	1176	-1488	18	12	3	-15984	2016	-2192	39	37	43	-8232	664	14704	119	3	-158	-16680	-32	-2136	39	4	11	-16040	-1824	-1448	77	20	7	127	122	8
-8096	-2280	13464	-5	26	-16	-15904	1184	-1408	14	21	-4	-15856	1816	-2232	44	15	44	-8216	776	14752	144	9	-145	-16480	32	-2104	47	4	13	-16136	-1848	-1496	77	8	8	127	122	8
-8144	-2276	13632	-5	18	-17	-16168	1232	-1592	14	19	1	-15848	1856	-2144	33	13	42	-8080	584	14504	131	24	-119	-16552	0	-2144	42	-1	12	-15992	-1856	-1568	80	-6	8	127	122	8
-8072	-2232	13776	-9	17	-16	-16216	1328	-1624	29	18	1	-16112	1984	-2216	25	10	47	-8032	712	14536	164	6	-159	-16704	-160	-1872	33	-13	19	-16168	-1904	-1664	68	3	8	127	122	8
-8072	-2256	13680	-10	16	-14	-16080	1232	-1688	37	19	2	-16080	2168	-2384	43	15	43	-8288	664	14648	184	97	-133	-16672	-64	-1952	32	-13	12	-16152	-1888	-1608	50	2	15	127	121	8
-8096	-2348	13564	-6	21	-13	-16112	1488	-1680	34	11	-1	-16016	2080	-2480	50	10	44	-8208	840	14696	217	65	-134	-16512	24	-1968	31	-10	18	-15912	-1952	-1552	47	-1	10	126	122	8
-8124	-2300	13756	-8	26	-17	-16144	1400	-1648	22	4	1	-16080	2160	-2256	47	-1	49	-8368	840	14536	163	66	-104	-16392	24	-1944	37	-6	19	-15968	-1816	-1392	48	-2	5	127	122	8
-8144	-2288	13736	-8	26	-18	-16072	1248	-1392	17	-1	-8	-15960	2104	-2520	55	-9	32	-8240	648	14592	134	59	-147	-16528	112	-1648	9	-11	19	-15880	-1632	-1552	41	4	17	127	121	8
-8108	-2272	13744	-9	19	-16	-16184	1144	-1336	14	-1	-4	-15768	2080	-2496	41	-25	18	-8112	632	14800	112	-29	-137	-16576	-96	-1928	1	-9	15	-16032	-1848	-1296	34	2	13	127	121	8
-8088	-2236	13652	-9	11	-19	-16008	1536	-1768	-5	1	-5	-16064	2168	-2304	26	-40	24	-8176	776	14584	119	-98	-99	-16440	-80	-1912	1	-13	18	-16192	-1848	-1376	18	0	6	127	121	8
-8236	-2292	13716	-11	11	-22	-16000	1456	-1640	-22	-5	-11	-15832	2376	-2368	11	-41	24	-8144	624	14672	122	-84	-139	-16600	88	-1920	12	-4	25	-16120	-1808	-1248	6	-6	6	126	121	8
-8120	-2264	13628	-14	8	-25	-16120	1312	-1440	-12	-13	-4	-16000	2312	-2728	-5	-36	24	-8176	816	14784	115	-55	-120	-16760	-56	-1848	3	-11	26	-16216	-1664	-1296	4	-8	1	126	120	8
-8088	-2228	13692	-17	9	-23	-16184	1432	-1712	8	-19	-10	-15944	2208	-2408	-19	-32	20	-8120	752	14800	114	-18	-95	-16712	96	-2064	-8	-10	22	-16200	-1632	-1392	-12	-10	-5	126	120	8
-8076	-2364	13616	-18	17	-24	-16264	1528	-1528	-17	-25	-13	-15984	2192	-2504	-11	-28	13	-8144	832	14520	133	3	-127	-16624	-48	-1832	-16	-12	26	-16296	-1704	-1632	-24	-4	2	126	119	8
-8140	-2332	13764	-21	17	-28	-16120	1280	-1336	-9	-29	-16	-16008	1992	-2568	-14	-31	14	-8176	792	14680	152	-6	-99	-16624	-64	-1952	-11	-11	28	-15888	-1784	-1512	-33	-8	8	126	119	8
-8088	-2260	13632	-16	16	-27	-16136	1296	-1488	-5	-38	-16	-15944	1744	-2264	-22	-32	14	-8088	760	14512	167	-15	-128	-16464	8	-1784	-6	-12	28	-16224	-1880	-1376	-13	-8	3	126	119	8
-8152	-2412	13688	-17	16	-21	-16144	1208	-1584	-17	-36	-10	-16216	1992	-1952	-34	-27	12	-8240	744	14664	134	4	-124	-16456	120	-1896	-1	-4	31	-15984	-1792	-1496	7	-4	9	126	119	8
-8132	-2248	13684	-18	17	-23	-16008	1368	-1256	-32	-27	-15	-16016	1960	-2224	-37	-33	14	-8192	864	15000	150	-30	-85	-16568	8	-1888	-11	-6	30	-16128	-2032	-1392	14	-3	14	126	119	8
-8060	-2240	13616	-15	12	-24	-16000	1176	-1368	-26	-31	-11	-16024	2024	-1968	-17	-39	15	-8280	744	14840	166	18	-96	-16448	-16	-2000	-12	-10	31	-16064	-1976	-1488	14	0	17	126	118	8
-8096	-2356	13644	-15	10	-22	-16112	1256	-1696	-3	-18	-5	-16168	1712	-1920	-6	-48	16	-8088	768	14568	136	12	-135	-16544	-168	-2016	-2	-12	29	-16112	-1656	-1288	13	-3	16	126	118	8
-8104	-2340	13692	-16	12	-23	-16160	1200	-1264	1	-16	-4	-16072	1752	-2096	26	-41	18	-8136	736	14664	124	26	-80	-16656	136	-1952	-6	-16	34	-16000	-1880	-1408	23	3	16	126	117	8
-8048	-2244	13736	-13	17	-18	-16120	1440	-1448	1	-14	-5	-15992	1840	-2256	32	-42	26	-8192	784	14680	170	54	-102	-16568	48	-1984	1	-15	31	-16064	-1744	-1520	19	1	14	126	116	8
-8052	-2280	13596	-15	16	-22	-16288	1248	-1536	-4	-15	-3	-16176	1920	-2088	22	-43	30	-8288	784	14664	179	-5	-107	-16496	72	-2176	7	-20	31	-15880	-1616	-1312	6	7	17	126	116	8
-8076	-2296	13644	-11	14	-22	-16264	1128	-1656	8	-19	-7	-16040	1960	-2048	7	-34	35	-8328	792	14640	152	24	-102	-16696	136	-2008	13	-16	29	-16112	-1728	-1624	-5	1	13	126	115	8
-8200	-2316	13716	-13	18	-21	-16240	1360	-1536	-4	-16	2	-15992	2128	-1872	-3	-33	31	-8112	792	14592	145	-18	-129	-16592	0	-1688	2	-13	36	-16208	-1696	-1216	-15	-1	9	126	115	8
-8176	-2368	13728	-15	11	-22	-16048	1368	-1296	-16	-18	-3	-16128	2104	-2040	3	-45	22	-8080	752	14808	149	5	-122	-16648	-32	-1872	-8	-16	34	-16048	-1864	-1312	-28	5	8	126	115	8
-8096	-2428	13820	-14	17	-21	-16112	1280	-1240	-38	-15	2	-16216	1936	-1808	-13	-53	12	-8184	864	14696	166	-39	-99	-16648	40	-1888	-18	-9	33	-16000	-1776	-1224	-33	19	6	126	114	8
-7960	-2320	13476	-9	19	-16	-16128	1216	-1008	-44	-7	3	-16168	2008	-1768	-16	-70	3	-8136	768	14728	171	89	-122	-16696	72	-1888	-33	-15	41	-16128	-1720	-1744	-37	36	4	125	114	8
-8212	-2312	13648	-12	18	-17	-16008	1320	-1128	-29	-9	0	-15864	2104	-1824	-57	-75	0	-8184	880	14688	168	139	-142	-16584	-8	-1712	-48	-14	41	-16192	-1808	-1280	-62	40	-3	125	113	8
-8112	-2324	13712	-8	16	-16	-16192	1296	-1392	-18	-7	3	-15960	2104	-2200	-94	-80	18	-8176	736	14736	175	159	-94	-16560	16	-1936	-28	-13	33	-16040	-1632	-1296	-86	46	2	125	112	8
-8224	-2304	13708	-11	20	-15	-16168	1448	-1800	-10	-23	-3	-16112	2264	-2376	-98	-54	12	-8224	712	14712	169	139	-86	-16528	32	-2064	-22	4	36	-16080	-1488	-1016	-73	33	-5	125	112	8
-8084	-2204	13680	-10	16	-23	-15960	1520	-1624	-37	-31	3	-15864	2104	-2736	-79	-43	0	-8168	608	14920	192	92	-83	-16528	120	-1768	-30	3	41	-16064	-1416	-1264	-62	21	-5	125	112	8
-8024	-2216	13516	-15	11	-24	-15960	1432	-1592	-37	-46	-7	-15672	2136	-2824	-94	-44	-7	-8272	808	14824	151	134	-119	-16472	96	-1520	-37	15	40	-16032	-1512	-1536	-44	17	-7	125	112	8
-8160	-2240	13652	-23	3	-33	-15968	1456	-1504	-61	-48	-5	-16072	1928	-2592	-54	-50	-1	-8056	864	14504	127	155	-147	-16624	240	-2040	-31	10	35	-16216	-1784	-1728	-15	28	-7	125	111	8
-8180	-2284	13752	-20	5	-33	-16112	1368	-1352	-44	-54	-13	-16136	1928	-1736	-42	-46	3	-8168	832	14824	147	143	-188	-16400	128	-1864	-16	14	21	-15928	-1576	-1936	-14	16	-4	125	111	8
-8160	-2300	13768	-19	8	-27	-16184	1336	-1136	-44	-48	-16	-16272	1904	-1352	-25	-21	6	-8368	760	14664	120	-18	-144	-16368	144	-2000	-7	14	22	-16000	-1496	-2120	-18	4	-9	125	111	8
-7968	-2332	13480	-18	14	-27	-16144	1432	-784	-40	-40	-17	-16408	2280	-1248	-7	-9	7	-8056	848	14392	155	-61	-147	-16344	184	-1896	-12	12	17	-15872	-1600	-1840	-18	-7	-8	124	111	8
-7996	-2324	13700	-18	25	-23	-16096	1352	-896	-24	-28	-15	-16120	2144	-1128	-26	-10	5	-8072	784	14696	119	-20	-162	-16408	232	-2032	-10	-1	10	-15856	-2120	-1688	8	-2	2	125	111	8
-7752	-2228	13160	-17	37	-11	-15928	1208	-680	10	-18	-14	-15928	1640	-1296	-3	-1	22	-8000	744	14576	109	86	-181	-16160	112	-1936	7	-12	12	-15536	-2128	-1864	34	-9	0	125	110	8
-7296	-2336	12056	-18	56	-16	-15496	1256	-928	15	-6	-17	-15704	1680	-1696	26	-2	23	-7968	776	14512	167	34	-166	-15952	120	-2736	9	-30	16	-15328	-2080	-2032	85	-7	1	125	110	8
-8320	-2444	13896	-7	35	-18	-15128	1528	-1672	52	-8	-24	-15136	1896	-1704	54	-4	22	-7896	248	12664	38	49	-196	-15688	-80	-2384	19	-28	7	-15320	-1448	-1720	85	-17	4	125	110	8
-7008	-2572	12408	-16	35	-18	-15512	1368	-840	8	-2	-3	-15472	2016	-1632	18	-27	29	-7136	112	13448	-55	133	-258	-15856	-344	-1920	14	-42	5	-14920	-1760	-1688	46	-5	27	126	110	8
-7152	-2792	11980	-21	47	-21	-14952	1064	-1592	47	5	-33	-14960	2368	-2000	5	-8	21	-7096	368	15120	119	-368	-87	-15224	-48	-1032	102	-17	-17	-15320	-1512	-2008	38	-56	0	125	111	8
-6640	-1540	12216	2	17	-11	-16088	624	-800	-12	2	3	-15584	2344	-2280	-38	-21	24	-9000	936	16968	210	-358	-65	-16072	1384	-1776	45	-40	53	-15568	-1808	-1952	38	-46	10	126	111	8
-8152	-1748	11588	-30	3	-37	-15680	1440	-1496	17	3	-43	-15560	2240	-2640	-30	-4	10	-7872	1592	15248	243	-101	10	-16584	328	-1064	76	-25	-20	-16112	-1520	-1416	20	-50	0	125	109	8
-10356	-2224	13176	-18	6	-25	-16216	1144	-3088	86	-16	-25	-15568	2176	-2216	7	0	2	-8080	1120	12808	331	-131	18	-15784	-232	-1568	-32	-55	20	-15568	-1720	-1568	62	-58	17	125	109	8
-8552	-3160	13936	-34	23	-32	-16000	352	-2512	48	-14	-48	-15544	2208	-2568	10	-3	3	-8120	872	11528	52	-70	-103	-16480	696	-2448	2	-64	24	-15352	-2056	-1240	51	-53	7	125	108	8
-8224	-2740	15280	-10	4	-35	-14808	1776	-984	-11	-37	-35	-15096	1664	-2328	-22	-40	18	-8232	496	11128	108	-117	-92	-16024	-544	-2472	22	-45	-13	-15192	-1704	-1408	61	-66	21	125	108	8
-6572	-2832	13784	-23	47	-20	-15208	1400	-120	-93	-43	-10	-15304	1768	-1584	-26	-65	13	-9088	568	13288	-102	-170	-211	-15456	-24	-3160	-31	-53	33	-14800	-2136	-1304	51	-62	53	125	109	8
-6668	-2784	12516	-17	35	-33	-14704	1592	-368	-109	-36	-30	-14936	1800	-1608	-1	-97	12	-9256	832	15288	82	96	-156	-15632	-512	-2592	49	-35	-4	-14872	-2064	-1072	71	-78	41	124	109	8
-7120	-2112	10928	-13	29	-32	-15104	416	-1160	-18	-38	-28	-14928	2040	-1384	37	-93	6	-7664	880	15328	355	175	-61	-14720	-1016	-1872	27	-33	18	-14520	-2096	-1136	130	-105	39	124	110	8
-7000	-1860	10472	-13	20	-31	-14984	1368	-1696	11	-33	-19	-14632	2008	-1592	28	-113	-2	-6928	560	14280	394	108	-69	-15224	-248	-1568	0	-48	30	-14824	-1600	-1432	146	-72	60	124	111	8
-7708	-1720	12396	-23	6	-33	-14888	1560	-1544	59	-31	-39	-14584	1728	-1824	22	-110	3	-5488	544	12688	409	-10	-36	-15104	-648	-1176	-5	-61	20	-14912	-1496	-1544	120	-55	75	124	111	8
-7808	-1624	14272	-35	5	-26	-14784	1616	-1528	40	-33	-18	-14808	1552	-2088	29	-81	7	-5112	584	12056	382	-298	26	-14944	152	-344	16	-74	37	-15008	-1536	-1528	91	-67	62	123	112	8
-7512	-1688	14788	-15	-3	-24	-14792	1128	-992	-20	-33	-30	-14984	1648	-2160	14	-73	23	-6032	408	12504	361	-321	-1	-15136	1088	-560	64	-84	45	-14944	-1376	-1424	67	-59	61	123	112	8
-7332	-1668	13280	-33	3	-37	-14960	784	-872	-34	-33	-34	-15112	1672	-1984	31	-77	30	-7112	848	13088	273	-410	-34	-15112	1288	-1184	67	-85	40	-14648	-1264	-888	51	-89	63	123	112	8
-7116	-2220	12556	-19	13	-34	-14728	648	-808	-69	-40	-19	-14832	1736	-1744	29	-97	34	-8824	864	13072	144	-367	-15	-15400	1112	-1576	45	-74	38	-14728	-1224	-712	23	-88	60	123	112	8
-7484	-2536	12392	-26	16	-40	-14608	656	-736	-56	-40	-24	-14760	1832	-1272	13	-106	25	-9392	1200	13808	110	-174	-71	-15400	392	-2120	38	-55	14	-14872	-1392	-336	12	-96	51	123	113	8
-7356	-2828	11424	-21	15	-43	-14496	1016	-1032	-34	-41	-19	-14504	1824	-1176	9	-108	11	-8888	792	13488	13	-37	-129	-15320	-512	-2376	11	-34	14	-14672	-1424	-280	21	-96	41	123	114	8
-7068	-2536	11004	-30	9	-45	-14456	1080	-1080	-2	-47	-18	-14432	1976	-1184	2	-112	-2	-7912	376	14096	-5	61	-117	-14920	-872	-2200	-7	-21	15	-14440	-1432	-248	28	-82	35	123	115	8
-7200	-1996	11564	-22	2	-34	-14456	1344	-1200	7	-38	-11	-14504	1864	-1144	-36	-120	-3	-7168	304	14448	-60	19	-119	-14856	-528	-1208	-16	-20	29	-14616	-1512	-728	47	-74	33	122	116	8
-7344	-1728	11932	-20	-1	-29	-14552	1192	-1408	14	-34	-20	-14632	1888	-1040	-47	-106	-5	-7088	592	14912	15	-87	-79	-14536	-112	-1144	-19	-19	41	-14528	-1520	-552	47	-47	53	122	117	8
-7544	-1664	12348	-26	-7	-33	-14520	1320	-1192	-2	-17	-6	-14504	1768	-1248	-43	-104	-10	-6856	640	14480	114	-155	-17	-14688	288	-712	-15	-16	42	-14632	-1400	-608	42	-45	54	123	118	8
-7568	-1784	12700	-12	-14	-38	-14464	1392	-1408	-3	-27	-5	-14792	1728	-1144	-52	-111	-3	-6536	1080	13920	88	-219	20	-14824	456	-864	0	-13	44	-14704	-1224	-728	24	-60	56	123	119	8
-7552	-1780	12440	-11	-21	-46	-14720	1088	-1040	-20	-4	2	-14808	1656	-1192	-44	-120	10	-6608	1216	12752	51	-260	-15	-15256	448	-544	-18	-20	34	-15056	-1160	-640	10	-79	48	123	120	8
