#Activity	standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	8 10 8 10 8 10 8 10 8 
#Date 09-23-18-13
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8048	-2184	13668	-6	25	-13	-15816	1808	-2288	-5	44	26	-15912	2264	-2120	-46	-71	44	-8344	568	14584	236	147	-166	-16424	-8	-2776	17	-44	37	-15856	-1960	-2536	74	83	29	126	122	8
-8128	-2248	13676	-3	19	-14	-16032	1720	-2472	-2	29	28	-15992	2184	-2328	-19	-69	47	-8200	664	14872	189	148	-112	-16504	280	-2792	49	-56	35	-15840	-1792	-2480	53	81	25	126	122	8
-8120	-2160	13652	-6	20	-12	-15944	2040	-2456	6	28	22	-15944	2200	-2336	14	-51	51	-8240	728	14760	212	13	-76	-16448	304	-2608	52	-63	41	-15872	-1720	-2400	46	78	30	127	122	8
-8136	-2064	13844	-6	22	-19	-16024	1784	-2432	3	24	14	-16024	2296	-2312	50	-43	56	-8328	792	14904	207	72	-115	-16728	352	-2640	33	-72	35	-16032	-1656	-2016	42	78	23	126	122	8
-8156	-2124	13756	-7	21	-10	-16176	1944	-2432	-1	18	17	-15968	2480	-2320	62	-42	54	-8216	672	14616	232	79	-84	-16624	160	-2696	28	-75	31	-16120	-1784	-2008	29	78	16	126	121	8
-8104	-2144	13716	-4	19	-8	-16248	2072	-2344	-5	11	10	-16064	2512	-2168	67	-34	56	-8288	744	14488	237	151	-81	-16488	232	-2504	33	-74	29	-16072	-1640	-1984	24	80	13	127	119	8
-8104	-2124	13652	-10	25	-13	-15840	1832	-2344	4	5	6	-16008	2448	-2208	80	-19	56	-8280	728	14672	212	215	-93	-16520	216	-2288	37	-76	27	-16096	-1552	-1864	1	73	5	126	116	8
-8160	-2148	13616	-12	29	-14	-15968	1792	-2448	9	3	5	-16056	2480	-2208	87	-26	56	-8200	760	14696	203	222	-123	-16336	416	-2224	33	-60	32	-16040	-1256	-1568	-14	51	5	126	115	8
-8184	-2148	13652	-9	32	-10	-15984	1960	-2224	1	1	-1	-16080	2520	-2032	89	-34	53	-8344	792	14504	185	199	-113	-16384	328	-1928	21	-53	26	-16096	-1320	-1304	-20	36	1	126	113	8
-8156	-2156	13648	-5	29	-11	-15840	1712	-2320	-7	9	-3	-16000	2648	-1904	48	-26	41	-8288	752	14624	152	158	-139	-16344	160	-2040	5	-41	15	-16120	-1632	-1520	-7	20	-11	126	112	8
-8132	-2124	13692	-6	24	-13	-15984	1904	-2368	3	9	-4	-15960	2592	-1688	51	-21	28	-8440	664	14744	127	185	-154	-16560	312	-2128	-5	-26	19	-16256	-1688	-1720	22	17	-17	126	113	8
-8044	-2124	13692	-10	18	-14	-15936	1848	-2320	6	9	-3	-16000	2592	-1936	39	-13	24	-8392	720	14520	170	177	-180	-16400	312	-2008	-6	-13	14	-16000	-1848	-1576	31	14	-21	126	114	8
-8124	-2092	13776	-8	25	-12	-16008	2064	-2152	17	7	-8	-16168	2608	-2000	18	-16	20	-8376	864	14576	130	151	-188	-16392	280	-2136	-3	-5	15	-16080	-1640	-1856	59	26	7	126	113	8
-8152	-2084	13640	-7	24	-10	-16160	1848	-2360	22	10	-16	-16224	2624	-1832	4	-13	21	-8264	752	14664	98	77	-204	-16400	376	-2368	-10	1	13	-15968	-1648	-2040	52	24	19	126	112	8
