#Activity	standing down_by_elevator standing down_by_elevator standing down_by_elevator standing 
#ActivityID	8 11 8 11 8 11 8 
#Date 09-23-18-12
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8148	-1296	13448	-87	51	-56	-15816	2280	-2576	-232	37	14	-15680	2544	-2864	-56	9	121	-8288	152	14824	363	218	-147	-16376	136	-2640	25	49	15	-15672	-2880	-2960	29	43	-9	126	126	8
-8092	-1408	13724	-95	65	-91	-15952	1784	-1816	-264	44	27	-15592	3048	-3224	-70	51	113	-8312	56	14624	376	155	-80	-16216	-192	-2720	44	32	8	-15744	-2848	-2576	71	58	7	127	126	8
-8368	-1876	13684	-55	54	-87	-16392	56	-1952	-154	28	8	-15856	3120	-3576	-160	74	146	-8304	88	14720	476	109	31	-16136	-416	-2528	114	26	12	-15720	-2488	-2352	77	38	0	127	125	8
-8404	-1936	13624	-22	30	-52	-16264	184	-1928	18	15	-7	-16008	1504	-3912	-158	110	44	-8336	80	14616	411	-46	83	-16136	0	-2232	146	21	21	-15568	-1848	-2096	47	20	-11	126	126	8
-8376	-1676	13588	-11	2	-37	-15224	888	-2256	70	10	0	-15552	496	-3752	42	38	-40	-8264	176	14496	419	-132	119	-16224	224	-2144	90	16	21	-15880	-1280	-2112	28	24	-22	125	126	8
-8396	-1752	13516	-15	-23	-41	-15576	1264	-1792	50	22	17	-15512	912	-2744	246	15	-49	-8152	216	14576	441	-66	80	-16528	-56	-2152	64	10	13	-16272	-1904	-2096	42	39	-15	127	126	8
-8320	-1868	13792	-23	-28	-32	-16240	944	-1992	42	12	2	-16336	2256	-2600	105	45	30	-8352	224	14608	361	-102	51	-16792	-96	-1920	86	10	10	-16280	-2216	-2240	57	40	-16	127	126	8
-8296	-1840	13512	-20	-30	-25	-16312	1200	-2032	35	5	2	-16136	2440	-3568	-65	69	53	-8352	472	14704	231	-46	-87	-16856	360	-2056	82	-4	25	-16480	-1992	-2536	85	-2	-35	126	127	8
-8316	-1692	13700	-20	-22	-21	-16184	1768	-2192	9	-3	-7	-15960	2072	-4144	-77	-31	80	-8392	272	14528	179	30	-172	-16800	136	-2136	45	-19	15	-16344	-1712	-2184	42	-15	-4	127	126	8
-8164	-1664	13844	-13	-16	-21	-16360	1392	-1896	-40	2	-15	-16248	1888	-3472	63	-82	68	-8496	312	14728	179	74	-164	-16752	-192	-2304	35	-7	0	-16176	-1912	-1976	27	-15	28	127	125	8
