#Activity	walking running walking running walking 
#ActivityID	1 2 1 2 1 
#Date 09-23-18-10
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7252	-3564	13216	225	-52	186	-13008	-2816	5344	-414	1057	148	-24336	-1856	4232	296	1950	197	-25448	-2928	29168	21542	-32768	16982	-24360	312	-10040	-1480	-5696	-1693	-4552	-6616	-8192	-1869	-1430	-157	138	253	1
-7316	-2520	13952	239	-26	329	-15184	-4296	1840	503	1259	154	-19472	-6120	6760	731	1187	-9	-32768	3728	32767	16928	-32768	22562	-31616	3848	-13880	-1134	-5728	-1877	-4776	-3184	-4416	-1820	-957	-9	148	253	1
-7476	-1876	14200	270	39	368	-19160	-840	-3448	1229	1383	309	-15200	-6032	2584	202	1384	362	-32768	-1720	29176	12199	-32768	30107	-29800	7968	-13792	-1731	-5679	-2088	-8152	824	-4216	-1354	-400	154	148	253	1
-7800	-2056	14008	285	115	409	-18584	1072	-3792	789	1504	367	-15248	-584	-4408	-204	1522	407	-32768	-9640	23816	9128	-32768	31551	-32768	9152	-15056	-2007	-5238	-2412	-17520	3568	7000	-639	-315	555	139	253	1
-8052	-1780	13872	341	220	533	-17304	72	-3344	111	1606	286	-15816	1688	-4984	227	1396	306	-32768	-15248	13736	6910	-32768	25937	-31552	9792	-16048	-1478	-4642	-2284	-23832	6992	21112	-2343	-822	1123	148	240	1
-7484	-1080	14300	369	364	673	-18824	-1056	-2624	-10	1732	317	-18720	1144	2144	94	1248	125	-32768	-17400	10392	7349	-32768	24148	-18656	14216	-28104	-365	-3505	-1307	-14440	-5424	32767	-5203	-156	1276	150	253	1
-7944	-1368	14372	463	612	727	-22080	3336	-2384	23	1854	402	-19824	752	3448	-701	1069	47	-32768	-32768	-32768	25119	-14976	-7659	-5624	7672	-32096	2669	-763	316	-11408	-3136	32767	-1749	-1341	-572	150	253	1
-7592	-916	15004	594	972	736	-18904	2440	-2248	-31	2095	530	-17608	-3112	800	-930	967	284	-32768	-30256	-30552	-3213	6767	-19483	-7176	15952	-28184	2673	1619	890	-21512	-12880	19472	1527	742	-1483	143	250	1
-8484	-1348	14256	883	1609	701	-22392	-2288	-2512	136	2268	883	-20976	-9848	-864	-909	1011	460	-32768	-10960	11408	-13446	10083	-21700	-17656	11560	-20392	1543	2816	669	-6416	-13936	2304	3835	1079	317	146	203	1
-9444	-2756	14036	1483	2355	1019	-23616	-3224	-1840	111	2412	807	-21624	-7064	1552	-755	591	639	4552	27536	17280	-18977	23428	-22385	-27312	-6984	21488	-990	2243	557	-12408	-3192	21016	5695	-12	-315	142	253	1
