#Activity	standing going_up walking going_up walking going_up walking going_up walking standing 
#ActivityID	8 3 1 3 1 3 1 3 1 8 
#Date 09-23-17-52
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7496	-2744	14032	-11	26	-16	-15968	1424	-3128	-49	-13	15	-15832	880	-4368	-30	145	19	-7936	1296	14944	141	66	-153	-16480	320	-1760	16	21	32	-16272	224	-1880	-20	74	-28	127	125	8
-7568	-2680	13908	-14	19	-24	-15824	1648	-3184	-44	-27	13	-15704	656	-4424	-103	118	37	-7928	1248	14768	121	108	-142	-16456	488	-1968	19	21	32	-16120	-72	-1856	-28	67	-27	126	126	8
-7484	-2704	13808	-20	12	-26	-15888	1712	-2784	-69	-35	2	-15832	720	-3808	-93	75	38	-7896	1160	14736	111	27	-158	-16448	400	-1744	0	21	36	-16080	48	-1720	-33	58	-21	126	126	8
-7448	-2728	13872	-12	15	-23	-16088	1416	-2800	-56	-39	-9	-15928	672	-3440	-54	57	39	-7904	1144	14768	129	39	-120	-16576	384	-1928	-23	30	35	-16136	-312	-2176	-23	64	-17	126	125	8
-7396	-2704	13832	-14	13	-23	-16024	1456	-2656	-47	-35	-3	-16128	696	-3376	-23	39	45	-8064	1336	14568	93	54	-112	-16624	496	-1704	-33	31	31	-16160	-160	-1704	-21	49	-6	125	126	8
-7484	-2700	13924	-12	14	-16	-15880	1368	-2536	-38	-32	-3	-15800	568	-3392	-35	20	35	-7880	1256	14632	148	37	-156	-16616	568	-1720	-9	36	34	-16152	56	-1744	-14	43	-7	125	126	8
-7484	-2700	13892	-15	13	-20	-15928	1592	-2704	-51	-23	5	-15848	640	-3304	-40	14	30	-7880	1320	14680	114	18	-161	-16560	512	-2000	-7	32	34	-16136	32	-2104	-13	47	-5	126	126	8
-7388	-2716	13956	-13	18	-19	-16136	1616	-2432	-27	-19	8	-16072	608	-3136	-21	5	20	-7920	1336	14784	126	56	-182	-16640	544	-2088	-31	30	30	-16168	88	-2184	-10	50	1	125	126	8
-7532	-2796	13892	-10	19	-17	-15992	1496	-2472	-21	-13	15	-15912	464	-2808	8	10	25	-7904	1208	14864	123	101	-141	-16568	352	-2160	-29	21	33	-16168	-408	-2144	-8	47	7	126	126	8
-7460	-2708	13880	-12	20	-15	-15960	1592	-2536	-7	-9	13	-15904	616	-3080	10	2	34	-7984	1152	14696	144	33	-102	-16336	480	-1888	-7	18	29	-16032	-360	-2128	13	38	-1	125	126	8
