#Activity	standing going_up walking going_up walking going_up walking going_down going_up standing 
#ActivityID	8 3 1 3 1 3 1 4 3 8 
#Date 09-23-17-49
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7568	-2636	13816	-16	6	-20	-15936	1256	-2864	30	-23	-41	-15816	616	-3968	13	-29	-7	-7632	920	14912	129	-25	-123	-16336	200	-2128	42	-15	2	-16064	-752	-2000	71	-82	-3	126	123	8
-7568	-2676	13832	-20	5	-29	-16088	1128	-2744	14	-23	-40	-15760	560	-3976	29	-27	-1	-7880	1008	14784	123	-62	-111	-16344	112	-2216	39	-10	-1	-16120	-672	-1776	80	-69	9	127	122	8
-7548	-2676	13776	-15	6	-28	-15912	1216	-2888	19	-22	-47	-15736	368	-4240	36	-28	-1	-7800	848	14712	117	-114	-118	-16400	256	-2064	11	-17	-4	-16296	-712	-1648	59	-81	14	127	121	8
-7564	-2708	13844	-17	4	-30	-16000	1056	-2728	37	-23	-46	-15744	184	-4024	47	-28	-1	-7784	992	14680	114	-129	-138	-16472	136	-2024	16	-17	-5	-16176	-536	-1592	47	-76	16	127	120	8
-7556	-2640	13764	-18	-1	-34	-15688	1224	-2792	42	-18	-42	-15560	248	-3896	46	-37	8	-7952	824	14832	71	-55	-150	-16632	80	-2280	14	-20	-2	-16400	-384	-1720	55	-78	8	127	120	8
-7588	-2660	13904	-16	0	-34	-15976	1048	-2720	13	-16	-46	-15632	296	-4024	53	-40	7	-7880	920	14760	86	-50	-165	-16384	112	-2536	9	-19	-4	-16080	-456	-1800	51	-87	2	126	121	8
-7600	-2712	13856	-18	-3	-29	-16072	816	-2784	41	-18	-41	-15792	136	-3904	51	-28	9	-7848	904	14968	83	-118	-112	-16416	-56	-2208	11	-19	-3	-16176	-648	-1640	37	-88	-1	126	121	8
-7540	-2684	13716	-16	2	-25	-16088	1048	-2560	54	-21	-36	-15976	248	-4184	52	-35	-3	-7976	904	14728	82	-109	-85	-16344	24	-2200	36	-10	-6	-16136	-528	-1664	43	-92	-4	126	121	8
-7548	-2656	13912	-12	6	-27	-15704	1128	-3016	25	-24	-36	-15800	240	-3920	45	-33	-2	-7672	992	14920	97	-86	-118	-16496	168	-2272	28	-18	0	-16192	-704	-1376	63	-79	7	127	121	8
-7508	-2668	13816	-14	2	-27	-15912	1056	-2504	-3	-21	-44	-15760	248	-3976	31	-40	5	-7896	1008	14736	85	-60	-137	-16560	96	-2256	-13	-20	-8	-16144	-712	-1656	70	-77	16	127	121	8
-7512	-2680	13880	-13	4	-23	-15832	904	-2680	9	-15	-46	-15584	552	-4096	34	-49	5	-7720	960	15056	89	-24	-167	-16632	72	-2112	-17	-24	-12	-16224	-552	-1752	67	-77	11	127	122	8
-7596	-2712	13796	-11	0	-27	-15984	1032	-2896	29	-20	-36	-15744	528	-4088	33	-47	-5	-7872	904	14944	89	-20	-150	-16576	88	-2248	5	-24	-9	-16288	-784	-1872	80	-79	4	127	122	8
-7536	-2668	13752	-14	-1	-26	-15936	1064	-2744	48	-18	-37	-15712	368	-3920	32	-50	-20	-7672	968	15024	146	-40	-142	-16440	-24	-2368	25	-33	-4	-16168	-600	-1528	70	-79	3	127	122	8
-7552	-2656	13824	-17	-5	-30	-15928	1120	-2656	34	-17	-41	-15736	456	-4040	24	-53	-14	-7832	968	14720	125	-39	-123	-16456	72	-2176	39	-32	-5	-16104	-544	-1408	52	-87	7	127	123	8
