#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 4 1 4 8 
#Date 09-23-17-48
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8044	-2556	13600	-14	32	-14	-15912	808	-2728	-4	6	-4	-15784	-624	-3752	3	-5	35	-8408	752	14416	177	143	-95	-16520	2024	-1152	44	-15	16	-15800	856	-2512	32	-14	7	125	123	8
-8004	-2508	13616	-8	27	-17	-15888	872	-2800	1	2	-2	-15760	-544	-3696	8	-1	38	-8192	688	14280	174	8	-105	-16496	2032	-1136	19	-10	25	-15896	520	-2464	31	-10	13	126	123	8
-8072	-2568	13552	-12	16	-16	-15944	840	-2440	2	5	0	-15712	-272	-3600	30	2	51	-8248	808	14696	93	7	-121	-16408	2056	-1280	14	2	16	-16040	304	-2576	31	-2	15	126	123	8
-8040	-2624	13680	-15	11	-19	-16080	952	-2576	-3	5	-1	-15848	-24	-3696	34	-2	50	-8344	824	14704	117	-57	-136	-16424	2088	-1232	19	7	16	-16072	296	-2736	45	-5	10	126	123	8
-7996	-2536	13592	-13	7	-21	-15880	904	-2552	4	6	0	-15784	-128	-3464	46	-6	40	-8360	664	14568	100	-38	-175	-16584	1896	-1160	24	3	20	-16176	592	-2440	46	0	5	126	123	8
-7996	-2584	13592	-10	9	-24	-15968	872	-2624	1	-2	-3	-15856	-208	-3568	37	-9	34	-8344	656	14400	103	-4	-167	-16696	1976	-1248	13	2	16	-15936	352	-2680	39	9	15	125	123	8
-7960	-2536	13568	-9	7	-19	-16136	936	-2296	2	3	-5	-15888	-56	-3744	12	-10	28	-8304	648	14824	113	42	-125	-16520	1920	-1240	-7	5	21	-16168	336	-2728	31	10	16	126	123	8
-8012	-2572	13556	-12	9	-20	-16088	1008	-2552	-16	-2	-2	-15920	120	-3600	7	-8	20	-8472	720	14416	137	-15	-111	-16624	2152	-1176	-13	4	17	-16032	288	-2816	-6	5	6	125	123	8
-7924	-2520	13552	-12	9	-24	-15888	952	-2744	-33	-6	-3	-15912	-64	-3600	-13	-8	21	-8352	680	14696	155	-24	-112	-16424	1984	-1376	-8	5	15	-16048	408	-2624	-5	3	3	126	123	8
-7964	-2560	13560	-6	13	-21	-15896	1104	-2432	-40	-7	-8	-15856	8	-3608	-42	-10	16	-8208	792	14640	89	7	-98	-16488	2152	-1088	-6	6	19	-16080	504	-2528	-3	8	3	126	123	8
-8004	-2540	13556	-8	13	-20	-16008	768	-2416	-21	-7	-5	-16008	-320	-3192	-42	-12	17	-8328	640	14496	121	26	-140	-16544	2104	-944	-2	-1	20	-16192	528	-2280	-4	14	2	126	123	8
-7972	-2544	13620	-15	17	-19	-16008	1040	-2592	-8	-11	-3	-16040	-360	-3728	-35	-14	12	-8312	752	14440	119	42	-148	-16576	1968	-1376	-8	1	19	-16088	512	-2672	-10	17	-4	126	123	8
-7976	-2592	13644	-9	24	-19	-15992	888	-2424	-12	-6	-10	-15920	-392	-3400	-21	-19	12	-8312	680	14576	112	93	-168	-16560	2064	-1232	-4	9	21	-16032	512	-2792	-21	14	-6	126	123	8
-7984	-2580	13536	-16	18	-17	-15984	848	-2712	-24	-3	-5	-15752	-448	-3456	-12	-15	19	-8224	744	14720	120	97	-122	-16520	2032	-1360	-7	8	22	-16080	280	-2808	-25	10	-6	125	123	8
-8060	-2592	13636	-15	17	-20	-16048	912	-2416	-27	-1	-7	-15968	-368	-3656	-13	-19	20	-8256	704	14304	118	48	-144	-16400	1912	-1128	-13	8	15	-16112	248	-2752	-12	12	-5	123	123	8
-8032	-2540	13636	-14	14	-22	-15928	1056	-2528	-16	-6	3	-15808	-152	-3552	-27	-32	11	-8344	760	14568	126	60	-120	-16424	2080	-1224	-15	9	19	-15944	384	-2736	-1	13	2	128	124	8
-7964	-2564	13668	-11	8	-17	-15952	840	-2584	-4	-3	1	-15632	-24	-3400	-20	-18	12	-8440	672	14584	121	-54	-102	-16312	1984	-1160	-2	7	18	-15848	288	-2888	12	13	0	127	124	8
-8036	-2544	13660	-11	7	-21	-15944	992	-2552	-5	-1	-3	-15864	-48	-3240	-24	-13	16	-8264	672	14520	149	-90	-121	-16408	2128	-1360	-7	7	15	-16040	328	-3016	10	9	-5	126	123	8
-8020	-2580	13680	-11	8	-25	-16032	1152	-2512	-10	-5	-4	-15872	-128	-3688	-21	-19	16	-8344	632	14480	86	-82	-115	-16744	2096	-1288	0	2	16	-16072	296	-2736	4	2	1	125	123	8
-7956	-2572	13696	-16	4	-22	-16024	976	-2480	-18	-8	-7	-15816	-136	-3616	-12	-16	22	-8280	752	14528	123	-52	-140	-16520	1936	-1208	-2	3	13	-16072	408	-2712	0	-1	8	126	123	8
-7964	-2556	13576	-11	14	-19	-16080	768	-2400	-8	-8	-4	-15944	-352	-3712	-32	-17	1	-8360	640	14688	110	-111	-116	-16480	1992	-1224	1	4	12	-16176	496	-2824	15	0	9	125	123	8
-8028	-2572	13588	-14	11	-23	-16120	1048	-2536	-6	-5	-7	-15896	-408	-3712	-11	-18	12	-8232	840	14560	113	-55	-118	-16648	2008	-1232	9	2	12	-15888	616	-2960	13	18	19	127	124	8
-7980	-2524	13564	-14	8	-19	-16072	968	-2488	-8	-5	-10	-15768	-216	-3264	-41	-19	-13	-8392	792	14616	145	-47	-107	-16696	2136	-944	9	7	13	-16016	432	-2864	1	3	-8	125	123	8
-7968	-2568	13596	-16	12	-23	-16160	952	-2176	0	-3	-1	-16024	-240	-3400	-55	-29	-18	-8384	744	14392	121	-64	-156	-16480	2104	-1248	9	-6	14	-15976	360	-2784	-8	-4	-13	124	124	8
-7964	-2560	13620	-11	8	-22	-16008	896	-2472	8	-2	-6	-15784	-48	-3712	-57	-36	-1	-8240	776	14600	112	-12	-129	-16536	1936	-1128	14	3	14	-15984	264	-2576	21	4	3	123	124	8
-7948	-2660	13560	-10	8	-22	-16104	1016	-2552	1	-6	-2	-15944	-304	-3456	21	4	18	-8224	584	14720	107	-55	-111	-16424	1968	-1112	13	-5	11	-16064	128	-2736	34	-4	1	124	124	8
