#Activity	standing up_by_elevator 
#ActivityID	8 10 
#Date 09-24-17-03
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8872	-3088	13108	-6	-3	-17	-16632	-112	-1744	-25	-15	22	-16128	728	-1688	-42	-17	8	-8968	3336	13568	20	-4	-22	-15800	-432	-5312	-54	-16	-9	-16552	-1344	72	-41	-1	25	122	126	8
-8564	-3096	12912	-7	8	-24	-16568	200	-1752	-11	-21	33	-16248	816	-1760	-34	-19	10	-9080	3360	13672	19	0	-34	-15552	-272	-5120	-50	-22	0	-16248	-1392	272	-33	-10	31	122	123	8
-8596	-3208	12844	-8	13	-28	-16552	-112	-1896	-10	-14	37	-16008	864	-1456	-22	-24	12	-9264	3632	13224	25	-7	-14	-15472	-568	-4928	-37	-25	-6	-16280	-1376	464	-40	-15	39	124	124	8
-8740	-3296	12804	-2	16	-32	-16728	-160	-1632	-13	-17	33	-15960	728	-1424	-12	-23	12	-9400	3496	13424	21	-6	-18	-15408	-480	-4792	-26	-34	-3	-16464	-1344	1008	-43	-15	34	124	122	8
-8864	-3144	12800	3	8	-23	-16472	-80	-1656	6	-16	22	-16048	776	-1408	-10	-21	15	-9352	3960	13552	27	-2	-8	-15640	-240	-4664	-29	-28	0	-16552	-1064	1128	-32	-10	40	131	124	8
-8544	-3064	12792	0	3	-23	-16568	-136	-1536	1	-17	27	-16416	696	-1696	-9	-23	18	-9256	3504	13416	35	-3	-29	-15432	-256	-4824	-54	-35	7	-16384	-1384	1272	-49	-12	42	125	124	8
-8864	-3172	12808	-2	4	-23	-16784	-24	-1616	24	-33	34	-16088	720	-1520	8	-32	21	-9184	3024	13272	37	-1	-30	-15504	-568	-4968	-53	-31	9	-16352	-1256	1352	-45	-15	50	125	127	8
-8580	-2916	12980	-1	5	-17	-16728	96	-2200	21	-18	37	-16136	784	-1424	10	-28	17	-9016	3200	13616	30	-3	-23	-15504	-336	-4840	-43	-21	7	-16384	-1248	1480	-59	-1	42	124	121	8
-8612	-3200	12864	7	5	-16	-16680	152	-1968	9	-10	45	-16112	864	-1352	-7	-20	15	-9048	3544	13600	32	1	-21	-15848	-328	-4408	-48	-15	4	-16440	-1200	1344	-61	12	33	130	125	8
-8452	-3308	12940	4	11	-28	-16784	136	-1680	4	-6	40	-16392	944	-1240	-23	-21	10	-9488	3768	13584	28	7	-18	-15696	-360	-4776	-48	-16	2	-16344	-1040	848	-46	38	25	127	125	8
-8156	-3048	13088	3	8	-26	-16736	272	-1320	-17	4	43	-16400	1168	-1000	-50	-26	7	-9480	3536	13648	27	1	-26	-15928	-192	-5000	-50	-17	6	-16360	-992	896	-57	46	27	125	127	8
-8944	-3020	13108	-6	14	-22	-16768	-32	-1592	-35	13	41	-16440	1296	-1264	-82	-37	-2	-9224	3792	13744	31	6	-10	-15696	-176	-4888	-23	-15	-7	-16352	-456	376	-51	79	17	124	121	8
-8840	-2972	13140	-5	17	-14	-16608	304	-1760	-18	12	32	-16064	1936	-1232	-140	-42	-26	-9464	3768	13680	28	11	-18	-15672	80	-4888	-2	-20	-9	-16496	-592	-128	-90	123	0	126	125	8
-8732	-2860	12964	-8	12	-20	-16552	408	-1512	-74	26	12	-16176	2144	-1184	-189	-35	-46	-9120	3664	13464	25	15	-23	-15712	360	-5000	-47	-28	-29	-16456	-344	32	-76	102	-21	124	126	8
