#Activity	standing up_by_elevator down_by_elevator standing 
#ActivityID	8 10 11 8 
#Date 09-24-16-35
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9200	-1144	13052	-140	179	-211	-16296	720	-3248	155	110	157	-15696	3868	-1800	59	-67	-4	-9624	3192	13484	80	-84	-180	-15772	1636	-3900	-112	-32	-6	-16164	1280	-2424	-65	-84	237	125	126	8
-9200	-1188	13104	-91	163	-197	-16428	500	-3108	109	73	154	-15944	3900	-2228	30	-61	-1	-9564	3216	13404	125	-29	-147	-15752	1664	-3812	-6	-38	-50	-16172	1288	-2360	-41	-49	209	127	126	8
-9184	-1068	13120	-81	196	-203	-16396	588	-3228	-19	76	144	-15764	3824	-2124	-4	-37	-45	-9552	3232	13336	136	-65	-192	-15716	1756	-3880	-65	-8	-1	-16084	1316	-2344	-62	-104	187	122	126	8
-9252	-1084	13028	-54	150	-177	-16376	624	-3164	-51	99	186	-15820	3920	-2148	-2	-27	9	-9556	3196	13364	133	-76	-211	-15760	1856	-3800	-145	0	1	-16148	1444	-2356	-117	-124	191	127	126	8
-9196	-1044	12932	-82	184	-165	-16408	640	-3296	-80	72	159	-15740	3792	-2192	-72	-37	23	-9464	3108	13484	113	-40	-183	-15776	1632	-3724	-110	15	-2	-16208	1432	-2328	-87	-150	221	126	126	8
-9176	-1192	13144	-107	146	-222	-16388	652	-3284	-84	40	195	-15628	3880	-2076	18	-13	28	-9572	3140	13400	127	-28	-207	-15820	1692	-3812	-135	7	1	-16208	1276	-2384	17	-133	178	127	126	8
-9260	-1112	13072	-154	200	-206	-16480	604	-3228	87	12	163	-15916	3892	-2048	87	-4	46	-9620	3168	13384	153	19	-226	-15708	1620	-3940	-76	30	47	-16100	1276	-2300	-43	-120	217	126	126	8
-9184	-1128	13052	-99	128	-233	-16384	588	-3192	42	-24	170	-15656	3760	-2060	-67	-8	11	-9696	3168	13356	138	-65	-142	-15788	1748	-3896	-122	23	48	-16096	1260	-2396	-46	-90	205	127	126	8
-9296	-1084	12992	-84	103	-216	-16368	596	-3024	38	-6	165	-15916	3828	-1908	172	-65	18	-9528	3132	13332	123	-43	-146	-15700	1856	-3956	-221	21	20	-16084	1364	-2368	-90	-240	229	128	126	8
-9212	-1204	13004	-74	130	-188	-16440	540	-3268	114	11	243	-15760	3740	-2032	154	-109	56	-9588	3140	13448	80	-87	-153	-15684	1668	-3804	-70	23	22	-16008	1388	-2332	-74	-189	250	126	126	8
-9268	-1124	13068	-94	101	-205	-16340	600	-3212	209	-12	188	-15864	3884	-1920	176	-113	22	-9552	3116	13296	123	-75	-143	-15760	1804	-3856	-11	11	8	-16116	1392	-2376	-21	-262	233	126	126	8
-9140	-1124	13000	-111	151	-181	-16368	620	-3256	42	-13	206	-15760	3828	-2060	-49	-95	44	-9636	3228	13476	133	-82	-178	-15792	1756	-3864	-120	27	26	-16200	1392	-2432	21	-256	229	125	126	8
-9112	-1060	13028	-80	117	-193	-16412	608	-3220	-7	-37	201	-15756	3812	-1996	-52	-40	35	-9648	3192	13496	120	-28	-168	-15900	1792	-3956	-82	19	10	-16196	1312	-2472	16	-251	200	128	126	8
-9144	-1172	13128	-96	114	-182	-16456	616	-3160	32	-69	185	-15956	3980	-1840	-9	-41	51	-9548	3144	13360	142	-31	-137	-15740	1748	-3928	-92	-32	0	-16164	1276	-2352	-27	-219	222	127	126	8
-9212	-1136	12996	-74	118	-181	-16276	552	-3284	17	-64	204	-15716	3944	-1956	13	-135	37	-9708	3136	13496	145	-125	-99	-15668	1644	-3940	4	-55	-2	-16044	1180	-2344	3	-225	214	127	126	8
-9232	-1096	13084	-55	90	-223	-16452	660	-3140	1	-37	157	-15712	3916	-1832	-132	-148	-16	-9264	3164	13200	129	-59	-71	-15720	1748	-3788	-77	-37	26	-16016	1376	-2252	31	-267	200	123	126	8
-9132	-1016	12876	-62	91	-184	-16516	488	-3072	8	19	137	-16304	3876	-1936	82	-103	22	-6280	3976	12908	324	356	8	-16020	1520	-3108	-404	-73	-35	-16728	1488	-2512	9	-384	226	128	126	8
-10328	-568	12440	10	-279	-119	-16632	228	-3688	113	11	198	-16428	4084	-1452	194	-197	86	-7540	1968	13088	245	-201	-210	-16724	2232	-3528	-680	-58	65	-16868	1492	-2464	-25	-527	234	123	126	8
-13072	-528	14940	174	-453	-93	-17252	-12	-4252	-15	3	191	-16504	4156	-1472	324	-203	94	-3604	4572	10820	505	373	164	-16020	1400	-2216	-681	-61	47	-17072	1348	-2408	-82	-455	252	126	126	8
-12012	-112	14184	131	-230	-41	-17396	640	-4112	72	-136	273	-16264	4132	-1468	359	-150	63	-8044	2284	13128	190	-255	-202	-16660	2596	-3356	-354	-66	115	-16920	1376	-2372	36	-346	231	127	126	8
-12348	-1068	15036	81	-142	-166	-17364	508	-4012	-94	-92	186	-16436	4080	-1644	362	-101	92	-6772	4308	12416	338	121	95	-16080	2124	-2780	-241	-21	122	-16992	1336	-2096	64	-339	208	125	126	8
-10092	-772	13808	78	101	-136	-17532	720	-3864	126	-22	255	-16368	4192	-1612	309	-164	90	-8240	2260	12352	157	-198	-199	-16328	2332	-3616	-257	47	135	-16748	1368	-2128	67	-280	235	126	126	8
-10396	-1452	14144	-25	235	-301	-17188	864	-3692	56	-61	244	-16256	4248	-1668	152	-132	81	-10456	3792	13948	150	-106	-112	-16048	2260	-3616	141	41	128	-16640	1284	-2136	74	-269	240	128	126	8
-9052	-884	13344	-114	229	-262	-17116	824	-2964	68	7	193	-16312	4144	-2060	156	-83	54	-11332	3000	14300	46	-212	-200	-16188	2276	-4512	140	68	53	-16508	1456	-2280	63	-232	257	125	127	8
-8700	-1764	13600	-70	256	-308	-16908	560	-2888	170	72	199	-16248	3920	-2152	57	-45	88	-8908	3764	12892	147	7	-89	-16124	1660	-4160	41	20	-19	-16608	1532	-2492	-63	-228	253	123	127	8
