#Activity	standing up_by_elevator standing up_by_elevator standing down_by_elevator standing down_by_elevator up_by_elevator standing up_by_elevator standing up_by_elevator standing down_by_elevator 
#ActivityID	8 10 8 10 8 11 8 11 10 8 10 8 10 8 11 
#Date 09-27-16-26
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8496	-3884	13972	134	-6	-128	-15828	1988	-3752	-74	-123	-14	-16296	-524	664	65	-278	211	-7532	5824	13140	-81	150	-224	-16160	-2804	-2768	56	-98	194	-16368	864	1628	114	-15	92	125	126	8
-8480	-3868	13980	136	-18	-134	-15792	2000	-3720	-70	-143	-33	-16308	-488	664	42	-290	207	-7452	5928	13100	-91	68	-176	-16120	-2688	-2660	129	-42	174	-16284	960	1848	167	-66	80	127	125	8
-8468	-3796	14112	120	-39	-171	-15776	2064	-3564	-80	-123	0	-16256	-456	444	-43	-149	204	-7476	5908	13024	-104	86	-177	-16144	-2684	-2528	179	-36	156	-16316	920	2036	254	-186	52	123	129	8
-8456	-3888	14080	140	24	-133	-15772	1980	-3784	-74	-154	-26	-16352	-628	492	-13	-199	294	-7272	5820	13160	-104	104	-181	-16264	-2700	-2416	91	43	119	-16316	916	2216	286	-218	94	124	127	8
-8484	-3880	13932	137	-24	-170	-15780	1952	-3720	-37	-135	-6	-16272	-436	700	144	-122	246	-7432	5896	13148	-81	193	-216	-16312	-2820	-2764	62	19	173	-16392	800	1516	359	-106	70	125	126	8
-8456	-3856	14048	127	-41	-144	-15840	1968	-3648	-8	-137	17	-16544	-416	492	245	-161	192	-7532	5964	13064	-58	171	-211	-16256	-2832	-2888	165	-80	227	-16368	828	1324	368	22	44	125	127	8
-8464	-3816	13984	177	-15	-166	-15836	2016	-3716	3	-157	-8	-16384	-480	552	261	-212	172	-7520	5800	13140	-78	126	-159	-16208	-2792	-2828	223	-200	204	-16396	876	1580	295	-6	61	127	133	8
-8520	-3864	13908	140	-75	-117	-15776	2020	-3672	-33	-114	1	-16296	-420	660	157	-134	195	-7444	5900	13080	-87	82	-148	-16108	-2664	-2564	201	-218	166	-16200	924	1928	208	-50	73	125	130	8
-8520	-3860	14048	139	-18	-161	-15776	1968	-3668	-141	-122	-24	-16328	-516	500	44	-231	242	-7444	5836	13124	-101	75	-204	-16132	-2660	-2380	183	-125	167	-16224	936	2348	245	-178	85	127	128	8
-8488	-3896	14092	156	-36	-161	-15792	1932	-3808	-159	-131	-40	-16292	-584	548	103	-280	256	-7356	5868	13136	-116	118	-189	-16256	-2744	-2392	137	4	189	-16308	868	2136	302	-183	79	123	127	8
-8436	-3904	14020	142	-13	-149	-15732	2020	-3620	-161	-215	-31	-16360	-372	612	142	-261	209	-7264	5848	13140	-101	124	-212	-16356	-2740	-2452	124	13	174	-16296	888	1964	300	-100	72	126	126	8
-8476	-3784	14048	127	6	-141	-15764	2028	-3576	-85	-206	-77	-16332	-428	624	220	-235	192	-7396	5888	13176	-94	170	-223	-16240	-2760	-2720	-14	20	166	-16472	804	1616	282	-76	100	130	128	8
-8432	-3856	14116	95	22	-126	-15828	1924	-3712	-163	-193	-82	-16324	-500	720	103	-172	233	-7500	5800	13076	-65	139	-194	-16240	-2936	-2704	171	-125	187	-16388	768	1496	388	-71	59	123	130	8
-8436	-3808	13996	73	51	-139	-15856	1988	-3512	-187	-273	-74	-16352	-516	540	129	-271	210	-7500	5860	13140	-86	73	-186	-16076	-2696	-2644	242	-138	201	-16288	1052	1832	349	-71	26	127	127	8
-8396	-3796	13992	20	77	-132	-15764	1996	-3576	-202	-269	-73	-16320	-440	544	77	-240	221	-7468	5844	13120	-146	33	-155	-16172	-2700	-2560	179	-101	179	-16252	1080	2168	217	-191	70	124	126	8
-8512	-3880	13996	-31	112	-138	-15884	2008	-3676	-299	-378	-89	-16316	-340	608	42	-263	215	-7380	5860	13092	-132	51	-186	-16244	-2524	-2200	165	-29	157	-16300	1012	2144	251	-188	106	125	126	8
-8504	-3856	14008	-127	141	-162	-15808	2092	-3536	-360	-389	-117	-16232	-408	460	115	-239	241	-7316	5904	13064	-95	140	-203	-16276	-2740	-2480	24	58	124	-16304	908	1944	164	-169	110	124	129	8
-8500	-3824	13940	-197	88	-221	-15732	2080	-3512	-200	-341	-71	-16320	-392	908	128	-200	276	-7316	5824	13184	-76	182	-248	-16284	-2836	-2808	31	-23	143	-16400	756	1592	278	-96	66	123	129	8
-8464	-3928	13912	-170	48	-248	-15792	1992	-3452	-243	-233	-94	-16380	-376	832	182	-213	249	-7592	5796	13128	-62	122	-214	-16228	-2868	-2856	222	-125	191	-16284	944	1536	284	-85	50	124	127	8
-8500	-3916	13992	-165	29	-251	-15800	1960	-3548	-221	-149	-82	-16476	-448	948	147	-218	239	-7456	5912	13092	-101	84	-207	-16172	-2636	-2508	202	-163	190	-16328	1020	2124	240	-47	40	125	127	8
-8492	-3924	14064	-149	-47	-273	-15808	1952	-3564	-195	-130	-81	-16272	-448	696	-109	-263	225	-7436	5832	13136	-106	66	-196	-16180	-2656	-2376	192	-67	117	-16220	1040	2408	243	-115	58	124	127	8
-8424	-3920	13932	-54	-4	-205	-15828	1948	-3560	-120	-83	-51	-16292	-504	664	-67	-130	239	-7260	5888	13160	-115	128	-221	-16240	-2532	-2228	85	60	87	-16240	1124	1964	396	-99	37	123	130	8
-8452	-3980	14008	23	-59	-155	-15824	1860	-3628	-43	-106	-91	-16348	-676	692	-8	-185	275	-7424	5808	13232	-66	214	-207	-16312	-2760	-2712	-66	74	107	-16308	940	1868	189	-110	35	128	127	8
-8504	-3996	13852	115	-81	-120	-15856	1920	-3508	72	12	-17	-16316	-492	696	67	-229	192	-7520	5904	12992	-70	199	-219	-16208	-2844	-2836	71	11	149	-16388	836	1576	267	-9	4	122	127	8
-8520	-3924	13892	189	-63	-114	-15804	1996	-3504	157	1	-13	-16340	-576	896	89	-272	202	-7512	5868	13092	-51	156	-209	-16276	-2660	-2736	227	-73	167	-16324	1000	1776	387	8	4	128	126	8
