#Activity	standing up_by_elevator down_by_elevator up_by_elevator standing 
#ActivityID	8 10 11 10 8 
#Date 09-27-16-25
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8508	-3976	13912	175	-79	-65	-15908	1788	-3088	-25	-69	24	-16460	-480	220	187	-123	253	-7532	5848	13164	-39	215	-228	-16340	-2796	-2412	57	-133	237	-16460	512	1060	359	-14	117	128	129	8
-8548	-3980	13968	187	-44	-166	-15920	1840	-3112	-118	-84	-8	-16352	-228	212	178	-241	245	-7496	5844	13004	-71	112	-182	-16192	-2764	-2256	185	-206	257	-16392	616	1216	348	-71	107	123	128	8
-8540	-3884	14040	173	-56	-147	-15872	1908	-3244	-293	-115	-19	-16356	-300	192	73	-252	292	-7476	5832	13008	-114	103	-168	-16284	-2588	-2104	254	-196	240	-16400	700	1696	375	-179	124	124	128	8
-8540	-3908	13896	149	-58	-147	-15988	1780	-3136	-307	-114	-64	-16324	-392	280	-7	-298	216	-7444	5804	13112	-92	59	-140	-16204	-2460	-1820	250	-84	210	-16280	828	1984	364	-247	106	131	125	8
-8520	-3880	13968	131	-69	-143	-15880	1688	-3080	-329	-180	-79	-16420	-484	144	-194	-349	226	-7264	5844	13056	-122	154	-198	-16412	-2308	-1896	35	-30	201	-16424	824	1788	130	-193	87	123	124	8
-8512	-3988	13848	117	-72	-162	-16016	1692	-3096	-462	-257	-144	-16372	-516	228	-241	-387	213	-7312	5948	13084	-83	145	-232	-16320	-2592	-1940	-20	-85	178	-16404	700	1292	-58	-165	173	126	124	8
-8524	-4028	13964	12	-8	-179	-15960	1888	-3024	-555	-332	-196	-16392	-432	228	-182	-453	175	-7516	5900	13024	-113	115	-219	-16280	-2664	-2400	-136	-102	201	-16392	492	1328	-131	-198	147	122	124	8
-8496	-3892	14076	-73	-28	-193	-16060	1740	-2944	-758	-532	-276	-16276	-548	460	-179	-513	193	-7496	5796	13068	-160	82	-215	-16252	-2696	-2140	-27	-222	273	-16448	452	1380	-113	-217	178	119	128	8
-8644	-3904	14196	-353	219	-276	-15772	1828	-2960	-699	-631	-178	-16216	-516	516	-205	-643	184	-7400	5816	13204	-125	75	-178	-16296	-2640	-1892	25	-194	244	-16364	548	1824	-59	-230	214	126	129	8
-8644	-3852	13832	-688	13	-479	-15744	1888	-2976	-871	-494	-111	-16144	-572	772	-368	-605	276	-7296	5776	13092	-167	58	-153	-16240	-2480	-1864	18	-146	277	-16300	636	2032	-50	-256	219	127	127	8
-8412	-4068	13840	-526	-195	-505	-15924	1632	-2808	-732	-256	-81	-16316	-516	924	-353	-590	306	-7244	5860	13320	-56	112	-166	-16408	-2416	-1644	-182	-27	278	-16328	524	1872	71	-310	271	125	126	8
-8488	-4096	13908	-368	-208	-443	-16004	1516	-2756	-697	-164	2	-16320	-756	920	-469	-623	259	-7320	5852	13088	-13	224	-229	-16556	-2720	-2252	-287	-60	329	-16548	636	1244	145	-242	274	128	130	8
-8504	-4180	13852	-225	-122	-370	-15980	1564	-2776	-523	-78	57	-16240	-716	792	-480	-645	257	-7560	5836	13164	-35	212	-223	-16308	-2784	-2488	-76	-214	378	-16516	536	1208	131	-203	236	126	127	8
-8304	-4220	13804	-48	-135	-251	-15980	1596	-2916	-334	-33	62	-16220	-712	684	-392	-612	280	-7460	5812	12992	-70	165	-210	-16368	-2684	-2128	241	-378	454	-16324	548	1412	389	-174	196	128	128	8
-8484	-4160	13916	59	-53	-166	-16012	1692	-2920	-113	-19	56	-16356	-708	656	-385	-512	292	-7368	5876	13136	-61	124	-128	-16276	-2416	-1908	346	-302	426	-16452	660	2000	451	-241	169	128	130	8
-8404	-4132	13776	241	-60	-64	-16068	1896	-2988	24	-30	62	-16376	-560	400	-143	-402	340	-7428	5792	13080	-67	122	-109	-16224	-2452	-1740	357	-204	377	-16224	924	2208	586	-295	195	125	130	8
-8444	-4080	14000	299	-48	-82	-15988	1856	-3084	238	-105	26	-16300	-448	440	-35	-333	336	-7192	5876	13136	-40	193	-201	-16364	-2136	-1776	334	-123	342	-16220	1056	2004	689	-238	179	128	127	8
-8408	-4084	13916	396	-56	-27	-15856	1776	-3052	332	-120	-12	-16332	-396	568	141	-296	311	-7352	5904	13028	-15	208	-200	-16352	-2144	-1752	275	-76	335	-16148	1168	1648	554	-184	189	128	128	8
-8420	-4196	13952	505	-51	31	-15916	1716	-2908	462	-113	-4	-16288	-588	672	428	-204	195	-7480	5884	13124	-78	179	-208	-16372	-2408	-2128	110	-103	236	-16400	1032	1552	483	-107	166	129	127	8
-8440	-4084	13940	473	-40	8	-16048	1704	-2880	540	-104	-14	-16356	-504	704	477	-132	256	-7392	5860	13140	-129	147	-212	-16428	-2476	-2116	334	-115	181	-16320	900	1696	484	-133	88	125	126	8
-8520	-4064	14036	435	-45	-22	-16020	1768	-2900	372	-126	-51	-16376	-280	684	526	-104	205	-7416	5840	13136	-120	106	-199	-16284	-2396	-1900	430	-126	183	-16324	952	1884	447	-190	73	127	126	8
-8584	-3984	14004	217	-27	-91	-16004	1892	-2804	106	-277	-100	-16372	-280	836	451	-29	222	-7380	5832	13136	-151	94	-207	-16412	-2428	-1872	259	-55	135	-16436	964	1900	517	-234	82	116	126	8
-8488	-3980	14068	-80	59	-164	-15940	1832	-2696	-203	-265	-120	-16372	-348	1000	440	-100	151	-7276	5884	12972	-103	155	-235	-16428	-2272	-2040	145	-7	72	-16336	1004	1984	340	-116	45	127	130	8
-8488	-4108	13876	-143	24	-221	-15792	1672	-2784	86	-119	-75	-16240	-416	868	332	-135	180	-7360	5892	13212	-129	158	-257	-16380	-2584	-2040	77	8	40	-16240	1040	1764	309	-138	38	128	126	8
-8440	-4084	13876	-55	-39	-206	-16000	1836	-2820	103	-28	-78	-16396	-284	844	42	-104	177	-7384	5780	13108	-140	128	-257	-16420	-2452	-2016	161	-94	59	-16268	876	1712	256	-45	21	125	128	8
-8436	-4048	13972	-79	0	-208	-15900	1740	-2924	-277	-21	-82	-16396	-340	816	-96	-166	122	-7428	5920	13148	-135	100	-243	-16320	-2404	-2068	220	-94	42	-16360	872	1676	59	17	-58	129	128	8
-8500	-4028	13948	-168	38	-224	-15840	1856	-2816	-356	34	-55	-16488	-432	632	-261	-181	170	-7452	5872	13172	-153	102	-242	-16268	-2384	-1948	132	-53	43	-16348	956	1940	69	-44	-13	128	127	8
-8596	-4036	14000	-162	-11	-266	-15924	1824	-2908	-410	42	-68	-16360	-476	516	-196	-436	178	-7276	5824	13208	-171	97	-220	-16468	-2320	-1964	26	-21	27	-16388	864	1996	-148	29	-36	123	131	8
-8520	-4100	13888	-262	-76	-339	-15840	1748	-2996	-308	76	-48	-16248	-428	712	-156	-520	189	-7272	5952	13184	-135	173	-247	-16412	-2452	-1812	-81	64	-21	-16360	764	1636	-98	79	-31	127	127	8
-8508	-4044	14000	-294	-76	-352	-15996	1768	-2692	-141	78	-76	-16476	-484	596	-38	-520	264	-7412	5804	13148	-128	166	-266	-16424	-2568	-2148	-69	0	-1	-16356	860	1696	-38	73	-101	124	125	8
-8432	-4116	13836	-271	-106	-332	-16088	1720	-2948	-162	108	-55	-16388	-568	436	-79	-560	296	-7428	5844	13188	-191	125	-266	-16360	-2528	-2084	62	-65	3	-16396	624	1556	-77	123	-105	128	122	8
-8484	-4236	13848	-97	-82	-251	-15916	1764	-3188	-297	88	-73	-16260	-476	380	-141	-419	228	-7388	5720	12992	-147	127	-214	-16308	-2556	-2012	66	-47	34	-16268	748	1608	-83	61	-26	124	130	8
-8508	-4096	13880	-49	-160	-272	-15848	1764	-3112	-251	90	-52	-16124	-424	456	13	-467	148	-7504	5724	13176	-164	123	-230	-16344	-2540	-1916	0	-99	13	-16336	764	1916	-199	41	68	122	127	8
-8492	-4140	13908	-92	-142	-333	-15900	1772	-2988	-205	83	-39	-16248	-364	772	-7	-612	56	-7392	5932	13184	-158	120	-233	-16368	-2428	-1900	-35	-33	26	-16368	608	1704	-137	-111	7	127	124	8
-8296	-4248	13820	-95	-133	-240	-16064	1644	-3000	-126	76	-79	-16296	-448	768	-124	-615	71	-7492	5900	13052	-96	236	-276	-16368	-2468	-1740	-22	-80	-6	-16432	592	1372	20	-111	-69	132	125	8
-8684	-3984	14044	14	-187	-284	-16020	1824	-2800	-273	71	-47	-16260	-612	996	-234	-522	71	-7352	5824	13076	-116	145	-244	-16392	-2712	-2216	43	-222	85	-16364	584	1116	-82	24	7	123	129	8
-8728	-4000	14020	-26	-151	-307	-15848	1716	-3096	-312	109	9	-16072	-544	916	-146	-418	54	-7532	5804	13272	-111	95	-205	-16280	-2600	-2224	196	-243	111	-16388	620	1432	10	11	-29	124	127	8
-8384	-4132	13792	-76	-262	-331	-15984	1780	-2792	-192	201	-3	-16332	-724	840	-57	-377	108	-7512	5760	13076	-141	72	-224	-16408	-2692	-2024	227	-293	172	-16392	680	1908	136	-89	41	127	132	8
-8340	-4288	13800	81	-109	-245	-16028	1604	-2964	30	191	28	-16364	-712	956	72	-411	29	-7356	5984	13220	-130	56	-206	-16348	-2320	-1536	410	-159	143	-16300	748	2304	285	-178	-2	124	129	8
-8260	-4212	13736	120	-31	-144	-15984	1620	-2788	213	202	-43	-16220	-676	1192	201	-356	-19	-7376	5796	13172	-109	121	-204	-16368	-2420	-1520	171	36	79	-16320	692	2212	476	-186	14	124	126	8
-8388	-4248	13916	173	-6	-96	-15944	1584	-2740	201	207	-23	-16224	-748	1256	215	-374	-2	-7220	5864	13208	-65	257	-294	-16428	-2452	-1636	-10	37	72	-16264	680	1756	555	-99	4	126	128	8
-8352	-4248	13820	275	-2	-79	-16016	1496	-2728	546	388	46	-16280	-756	1276	237	-335	-7	-7548	5832	13152	-57	281	-303	-16420	-2688	-2208	122	-56	89	-16468	580	1480	580	-39	-8	128	124	8
