#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 4 8 
#Date 09-27-15-59
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8680	-3516	13780	322	-125	56	-15816	2044	-3276	152	-28	69	-16264	-532	-436	118	-148	132	-7888	5444	12856	-61	150	-218	-16432	-392	-3180	40	44	73	-16324	1188	-892	116	190	17	127	127	8
-8764	-3556	13788	282	-115	-10	-15796	2096	-3344	91	-18	32	-16332	-304	-684	104	-167	188	-7900	5376	12900	-102	102	-207	-16416	-460	-3196	37	27	145	-16336	1132	-836	128	108	21	130	127	8
-8748	-3448	13820	209	-139	-67	-15852	2124	-3380	-56	-26	10	-16424	-404	-672	-40	-105	220	-7916	5508	12912	-107	145	-208	-16424	-352	-3132	90	23	110	-16364	1164	-756	152	167	35	126	127	8
-8668	-3488	13832	153	-60	-115	-15832	1892	-3256	-52	-44	30	-16292	-512	-540	9	-80	247	-7832	5464	12936	-91	137	-226	-16372	-448	-3172	57	65	79	-16252	1168	-884	190	178	59	128	127	8
-8664	-3452	13784	144	-91	-129	-15840	1892	-3144	6	-17	15	-16288	-496	-452	35	-40	282	-7872	5436	12804	-80	138	-185	-16376	-376	-3192	186	45	69	-16264	1240	-800	200	147	71	126	127	8
-8728	-3464	13848	105	-5	-146	-15852	1788	-3316	35	0	44	-16272	-572	-596	100	-54	274	-7896	5476	12852	-90	134	-200	-16380	-332	-3124	155	99	51	-16324	1332	-656	193	129	61	129	127	8
-8772	-3536	13804	97	-40	-114	-15904	1900	-3264	67	71	35	-16248	-576	-504	79	-65	211	-7828	5480	12776	-81	206	-247	-16420	-456	-3228	63	60	83	-16328	1180	-824	217	179	-16	128	127	8
-8648	-3464	13892	174	-27	-89	-15876	1760	-3188	121	101	68	-16296	-624	-508	49	-83	214	-7928	5408	12872	-73	230	-237	-16484	-608	-3352	43	57	58	-16360	1128	-964	225	254	-57	128	127	8
-8680	-3604	13848	178	-40	2	-15964	1708	-3376	173	64	11	-16360	-672	-624	-13	-61	189	-7916	5436	12900	-47	223	-238	-16368	-504	-3228	87	14	82	-16328	1136	-932	234	329	-74	130	127	8
-8712	-3512	13808	199	-54	35	-15924	1968	-3536	198	18	25	-16296	-472	-756	-56	-38	191	-7980	5416	12924	-27	189	-235	-16396	-468	-3232	109	-9	125	-16248	1136	-980	182	403	-39	127	127	8
-8780	-3428	13792	136	-58	-4	-15828	2132	-3452	91	-16	29	-16264	-316	-728	-40	-18	204	-7960	5468	12840	-66	172	-242	-16396	-472	-3176	102	0	111	-16300	1236	-872	123	307	-35	122	127	8
-8764	-3544	13848	144	-56	-54	-15836	1804	-3432	105	-9	-2	-16380	-508	-520	43	1	207	-7924	5476	12864	-74	157	-217	-16368	-456	-3148	41	-32	108	-16256	1240	-1000	166	253	-39	130	127	8
