#Activity	standing going_up walking going_up walking going_up walking going_up standing 
#ActivityID	8 3 1 3 1 3 1 3 8 
#Date 09-30-14-51
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8704	-3772	12780	-271	206	-149	-16324	-220	-3624	-959	-73	-66	-16280	-576	-2364	-1202	-189	-264	-7780	4132	14408	108	-7	-102	-15420	1484	-4228	-974	28	-295	-15908	2432	-2728	-1552	1057	-345	115	129	8
-8676	-3924	12824	-257	142	-220	-16152	-736	-3372	-834	-95	-106	-15728	-1428	-2336	-1179	26	-341	-7788	4224	14284	48	-6	-160	-15588	1192	-4160	-595	163	-217	-15712	2100	-2516	-1493	882	-153	116	129	8
-8660	-4012	12788	-205	168	-157	-16564	-836	-3428	-269	-112	43	-15848	-1740	-2528	-1038	270	-329	-7736	4180	14336	60	10	-181	-15680	1252	-4212	-436	369	-157	-16320	2304	-2420	-1147	1011	-173	117	128	8
-8632	-4008	12880	-182	241	-127	-16508	-552	-3588	12	-145	132	-16292	-1476	-2800	-937	69	-129	-7768	4200	14404	60	69	-216	-15616	1340	-4412	-577	430	-178	-16056	2200	-3576	27	355	-356	114	128	8
-8720	-3896	12904	-211	249	-150	-16168	-296	-3460	-210	-147	105	-16328	-1160	-2840	-629	26	15	-7668	4032	14280	51	-31	-192	-15344	988	-4660	-156	437	-37	-15176	1992	-3572	-379	-77	98	115	129	8
-8708	-3820	12820	-85	118	-184	-16060	-568	-3408	-220	-55	126	-15748	-1580	-2288	55	-255	-151	-7680	4108	14356	-4	-69	-221	-15700	1416	-4960	158	315	-29	-15388	2600	-3676	306	397	157	116	127	8
-8640	-3996	12784	-53	99	-205	-16196	-928	-3276	445	4	246	-15832	-1936	-2108	640	30	-95	-7704	4108	14468	78	33	-229	-15764	1436	-5012	146	304	30	-16036	3116	-3876	690	599	-64	116	129	8
-8580	-4024	12952	-55	136	-161	-16656	-524	-3372	984	16	291	-16200	-1696	-2352	1008	147	141	-7788	4144	14304	87	72	-175	-15640	1492	-5020	49	79	-112	-15844	3012	-4276	751	398	-93	118	129	8
-8684	-3864	12776	-71	207	-115	-16388	-252	-3520	691	77	258	-16368	-1072	-2364	805	250	244	-7756	4180	14304	96	-53	-174	-15400	1384	-4680	271	76	-73	-15508	2736	-3672	212	146	128	118	126	8
-8696	-3860	12920	-78	220	-139	-16260	-144	-3688	432	55	195	-16216	-520	-2440	563	167	339	-7688	4168	14256	1	-52	-187	-15624	1568	-4572	211	42	-117	-15788	2952	-3512	239	149	38	119	129	8
