#Activity	walking running walking 
#ActivityID	1 2 1 
#Date 09-30-14-39
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-14648	-8252	14096	-6585	-32768	-15901	-10212	-840	-9804	1507	-32768	6810	-6492	3220	-9488	3944	-1830	-7809	-7516	4152	14044	1065	3628	-2084	-16164	972	1528	6010	5003	2249	-13624	1508	4176	-3994	19634	3315	122	105	1
-14928	-8248	16276	-8206	-32768	-16800	-13052	2788	-11580	1715	-32768	7720	-6636	4920	-8984	7940	-3389	-6721	-7588	4752	13960	705	3536	-2051	-13308	3980	2832	1727	7024	2192	-16924	6620	1376	-462	15981	2957	140	106	1
-18692	-8108	21776	-12550	-32768	-20336	-16256	6948	-15036	-8869	-32768	9101	-5820	5596	-8708	9226	-3711	-6797	-7776	5068	14036	326	3380	-2228	-13500	4240	2540	850	7252	2298	-18136	5960	416	3627	9718	1742	143	112	1
-28384	-9404	24028	-16486	-32768	-21422	-17836	7932	-13472	-21586	-32768	4887	-8244	6960	-3468	16846	-8045	-2398	-7364	4960	14972	280	4098	-2758	-16500	2352	-2128	-202	10516	2928	-16708	2040	420	-1117	8404	1783	144	122	1
-32768	-6428	24212	-19099	-32768	-19738	-20476	-2380	-15960	-29501	-32768	-2932	-9188	5748	720	12519	-9068	-3085	-7888	4452	15196	520	5879	-3101	-18376	928	-2980	1906	10686	3028	-15144	2928	520	-1804	12047	3623	147	135	1
-32768	-2028	18944	-21115	-32768	-15823	-24444	-6364	-17064	-22243	-32768	-6016	-15364	-6888	1540	5662	-10437	-6387	-7724	4960	15812	329	8676	-3276	-17872	1808	-1496	1182	11480	2858	-17408	2572	-1512	3402	12886	3203	142	153	1
-32768	7556	6496	-20862	-32768	-13165	-19468	2676	-18176	-13813	-32768	-7532	-18044	-10364	11508	-115	-10524	-5590	-7840	4880	15852	347	9168	-3372	-20124	1512	2972	-64	14043	3237	-24332	2816	3360	2825	10402	2004	177	164	1
-32768	17644	-9276	-15916	-27159	-11595	-10960	-1780	-17368	-14502	-22326	-7281	-12644	-15028	24372	-7924	-2924	-3819	-7288	6088	18252	1523	19559	-5683	-23460	-716	4076	-386	17688	3834	-25920	-96	12936	192	6418	2870	162	166	1
-32768	23972	-20980	-3611	-8137	-6441	-6196	-3200	-17824	-4308	-4040	-4643	-9444	-19856	18116	-17699	3175	1062	-7512	5168	18600	2423	27931	-7172	-22608	-3176	4208	662	21119	4731	-24304	-1900	9236	5005	4225	1245	116	163	1
-32768	26216	-18332	2307	9112	-4149	-2752	-2568	-21852	8986	13898	-120	-10596	-13740	6584	-9552	4147	3887	-6852	5408	17908	3973	32767	-9000	-23584	-2360	4036	1279	24702	6109	-24280	-2232	8324	5752	3376	536	77	159	1
-27084	-12068	-3800	20847	30079	894	-10528	-720	-18200	19346	24161	1780	-13516	-8432	756	-14878	8640	4377	-7992	7100	19264	4220	32767	-13112	-26568	-4740	3720	1873	27636	6655	-24192	-1464	11920	8331	-3983	-2298	46	154	1
32767	-24144	32767	2331	16353	-9706	-32768	13584	32767	31789	8347	2866	-11468	4280	-15308	-5405	14282	7563	-12328	14620	21088	5901	32767	-18775	-32768	-7496	14588	10617	29929	7303	-24848	-2120	20144	-224	-9790	-5008	32	151	1
-32768	16008	15312	11310	32767	12556	-32768	5680	-14088	32767	14194	4712	-32768	-17640	32767	27137	-18480	8599	-31740	19956	22992	6662	32767	-26389	-32768	5404	6048	12421	31632	8876	-27084	-5592	11932	-284	-21585	-8831	0	128	1
-20632	-2796	21804	625	14079	14213	1864	4324	-7340	-449	22483	-701	-22200	2400	-1280	18183	14089	4933	-31752	17584	23360	6233	32767	-32413	-31992	16168	-3228	5724	31004	7348	-25656	15452	-2432	17366	-27575	-9101	2	97	1
-28912	-32768	9848	5560	9770	1519	-18068	-5108	-11616	-406	21230	-7009	-12404	31628	-2696	1423	24952	5657	-32768	11592	32767	8381	32767	-28265	-22860	8128	-8308	-12622	25824	8336	-26212	18236	-19220	32573	-32768	-5357	28	89	1
-4028	5676	17220	7596	4224	3457	-22608	-6356	-11572	1687	17933	-6486	-6724	3744	-24996	-21475	-65	2382	-11648	23692	32767	14656	30008	-19185	-19748	7656	-9576	-13809	19365	4588	-28376	12236	-15424	2947	-27600	-1303	2	95	1
-11380	-9732	12400	6185	3466	3054	-14164	-1560	-11152	-5972	14407	-2516	-5964	528	-18988	-21282	-2660	1627	-32472	23656	15476	-10415	9144	-13796	-12300	10268	-17332	-9545	6665	-1831	-27888	10320	-7956	-18059	-27909	1842	111	92	1
