#Activity	standing down_by_elevator standing down_by_elevator standing down_by_elevator up_by_elevator standing up_by_elevator standing up_by_elevator 
#ActivityID	8 11 8 11 8 11 10 8 10 8 10 
#Date 09-30-14-20
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8536	-3252	13224	-112	141	-202	-15868	1892	-4160	56	-110	94	-16024	-1440	-2012	-120	-315	92	-7812	4140	14560	120	22	-139	-15828	1524	-3520	-22	-109	-33	-15944	2684	-2296	90	87	58	128	117	8
-8624	-3320	13180	-97	106	-199	-15952	1824	-4160	355	-116	181	-16072	-1276	-1860	273	-427	36	-7760	4132	14448	117	-18	-116	-15728	1480	-3196	-121	-81	-27	-15896	2696	-2036	-191	60	27	128	127	8
-8576	-3348	13156	-48	77	-222	-16044	2180	-4080	327	-151	183	-16120	-920	-1816	519	-329	62	-7700	4204	14484	97	-24	-112	-15752	1544	-3088	-198	-29	-6	-16120	2636	-1680	-172	-86	-51	125	131	8
-8632	-3224	13260	-113	93	-241	-16184	2224	-4280	-128	-76	124	-16148	-1112	-1904	-13	-313	113	-7776	4188	14524	102	-46	-144	-16092	1488	-3096	-233	-37	-25	-16268	2640	-1904	44	-294	-97	128	127	8
-8652	-3396	13192	-110	112	-170	-16092	1836	-4476	-137	-112	112	-16104	-1120	-2288	-633	-293	141	-7732	4080	14440	112	-12	-134	-16104	1544	-3220	-262	-47	-19	-15996	2500	-2252	183	-193	53	128	126	8
-8660	-3420	13152	-125	137	-168	-16144	2036	-4444	-109	-162	153	-16196	-1080	-1992	-168	-134	125	-7744	4120	14432	127	26	-174	-16000	1556	-3392	259	-123	-4	-15964	2708	-2236	186	-19	21	130	125	8
-8564	-3288	13136	-135	154	-160	-16012	2204	-4236	-239	-199	114	-16060	-1256	-1848	251	-39	91	-7812	4212	14400	159	3	-117	-15800	1724	-3260	-48	-158	-32	-15932	2844	-1988	378	-1	37	126	118	8
-8556	-3276	13088	-128	146	-174	-15928	2044	-4104	-91	-114	130	-16108	-1396	-1804	143	-333	126	-7712	4204	14496	142	12	-126	-15908	1440	-3196	-112	-113	-31	-15964	2748	-1860	241	-154	12	127	122	8
-8600	-3344	13156	-125	130	-183	-15976	1988	-4172	162	-148	199	-16200	-1176	-2000	-483	-368	166	-7804	4104	14512	107	1	-108	-15800	1332	-3152	190	-101	-56	-15972	2580	-1896	186	-183	4	128	125	8
-8600	-3176	13068	-135	169	-219	-16036	2176	-4332	15	-192	164	-16028	-884	-1884	90	-19	140	-7696	4160	14472	122	-14	-129	-15936	1592	-2988	65	-69	-36	-16120	2644	-1552	-35	-183	28	127	120	8
