#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking going_up standing 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 3 8 
#Date 09-30-14-09
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8400	-3872	13072	-94	141	-191	-16104	1280	-4068	70	-9	83	-15828	-2312	-3108	-39	-129	177	-7596	4048	14524	80	-31	-170	-15892	1468	-3160	-69	0	-102	-16172	2536	-1532	13	79	-29	121	128	8
-8456	-3936	13136	-78	163	-165	-16152	1176	-3984	246	23	139	-15884	-2172	-3216	-65	-353	73	-7644	4016	14552	81	28	-181	-15924	1308	-3224	-123	55	-64	-16152	2480	-1664	8	-74	-66	127	130	8
-8416	-3880	13048	-86	162	-156	-16036	1292	-4312	289	1	165	-15804	-1896	-3192	216	-300	-71	-7652	3952	14472	72	44	-203	-15864	1336	-3504	-69	78	-66	-16008	2368	-2060	191	-161	-96	126	127	8
-8420	-3896	13000	-63	120	-172	-16040	1500	-4484	66	75	111	-15780	-1848	-3324	-80	-186	-75	-7656	3968	14548	102	-56	-194	-15716	1340	-3844	-25	43	-101	-15812	2396	-2184	72	-63	-57	127	127	8
-8376	-3836	13108	-109	114	-196	-16048	1500	-4400	-18	-8	82	-15796	-1892	-3280	-60	-203	-12	-7756	3960	14448	87	-64	-157	-15744	1484	-3820	39	59	-85	-15908	2568	-2164	189	84	-82	123	123	8
-8436	-3880	13068	-87	143	-205	-16196	1420	-4292	132	-17	89	-15852	-2004	-3348	-184	-224	-1	-7700	4032	14428	106	-39	-155	-15744	1400	-3524	-98	-25	-118	-16040	2612	-2052	129	120	-83	124	125	8
-8388	-3912	13064	-158	158	-188	-16144	1412	-4284	129	-15	83	-15856	-1888	-3548	-113	-424	-7	-7648	4016	14552	80	-58	-150	-15928	1412	-3468	-114	2	-120	-16160	2532	-1972	-32	14	-127	125	127	8
-8468	-3832	13048	-144	116	-178	-16052	1548	-4492	-91	-113	54	-15812	-1672	-3288	-80	-216	-24	-7660	3948	14556	87	-16	-160	-15924	1384	-3484	-223	18	-146	-16200	2404	-1836	-219	-51	-125	127	126	8
-8448	-3796	13052	-174	133	-213	-16020	1596	-4564	-162	-146	-10	-15716	-1740	-3224	-126	-227	20	-7708	3976	14532	65	-33	-167	-15780	1352	-3532	-149	69	-117	-16032	2412	-1988	-20	-111	-107	127	125	8
-8424	-3900	12952	-138	103	-200	-16048	1168	-4084	-119	-120	40	-15740	-2556	-3004	-120	-122	65	-7748	3952	14576	65	7	-180	-15788	1384	-3652	-204	23	-166	-15924	2220	-2112	-65	-61	-46	127	123	8
-8416	-3920	13048	-174	126	-213	-16124	1240	-3916	232	-141	76	-15860	-2364	-3084	53	-160	9	-7728	3988	14552	54	-11	-144	-15844	1372	-3668	76	-24	-139	-16144	2344	-1960	232	-10	-74	124	127	8
-8448	-3868	13088	-129	190	-170	-16140	1452	-4224	231	-123	61	-15800	-2020	-3136	252	-115	19	-7644	3996	14520	100	-30	-179	-15944	1308	-3644	11	-53	-134	-16160	2304	-2096	267	-8	-122	124	125	8
-8400	-3800	12996	-127	162	-189	-15944	1408	-4172	65	-75	24	-15648	-2124	-3132	79	9	82	-7640	3984	14624	73	11	-167	-15776	1272	-3528	141	-27	-142	-16116	2304	-1968	397	-35	-91	125	125	8
