#Activity	standing going_down walking going_down walking walking going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 4 1 4 1 1 4 1 4 1 4 1 4 8 
#Date 10-06-18-07
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10176	-3660	11724	-132	152	-200	-15472	5196	-964	-117	-107	-91	-16124	-344	-2168	126	-95	17	-11364	1716	12240	119	-36	-156	-16208	-2880	-2364	-51	-139	148	-15716	-1032	-3876	-140	-237	146	127	128	8
-10184	-3652	11632	-154	168	-233	-15424	5196	-916	-70	-132	-77	-16176	-336	-1976	250	-135	12	-11324	1708	12152	130	-75	-158	-16160	-2968	-2368	43	-66	130	-15820	-1288	-3784	-101	-273	109	127	130	8
-10168	-3780	11576	-156	174	-211	-15548	5196	-852	-41	-102	-57	-16248	-320	-1996	258	-168	-10	-11368	1672	12232	153	-35	-196	-16236	-2924	-2232	51	-41	181	-15688	-1124	-3816	89	-181	167	127	121	8
-10192	-3780	11728	-125	148	-168	-15568	5168	-892	32	-82	-19	-16184	-328	-2080	230	-60	-14	-11316	1716	12224	90	-38	-139	-16308	-2928	-2232	34	-6	175	-15740	-988	-3884	35	-103	142	127	128	8
-10168	-3732	11768	-82	135	-173	-15508	5208	-1008	42	-73	-27	-16108	-320	-2160	192	-27	7	-11332	1700	12184	123	-32	-153	-16260	-2896	-2496	18	-38	184	-15668	-928	-3984	176	-134	200	127	128	8
-10260	-3724	11700	-91	146	-163	-15472	5180	-892	-80	-57	-11	-16076	-248	-2204	113	28	-17	-11372	1652	12180	97	13	-184	-16188	-2940	-2456	35	-48	161	-15784	-1064	-4016	9	-60	242	127	130	8
-10112	-3716	11620	-98	156	-185	-15496	5208	-1028	80	-28	-14	-16132	-224	-2024	94	-20	-8	-11384	1708	12140	107	-30	-141	-16116	-2932	-2484	39	-49	195	-15640	-968	-3924	24	-97	175	127	130	8
-10252	-3736	11672	-87	143	-211	-15444	5172	-744	-56	-23	35	-16128	-232	-2344	106	-91	-3	-11332	1712	12176	109	-70	-140	-16180	-2932	-2392	41	-32	173	-15780	-1136	-3892	-34	-242	143	127	129	8
-10224	-3764	11480	-67	155	-175	-15512	5128	-876	-31	-4	-53	-16140	-232	-2248	124	-83	0	-11408	1700	12272	105	-97	-151	-16140	-2948	-2552	41	-14	168	-15676	-1112	-4072	42	-324	156	127	128	8
-10208	-3704	11728	-109	156	-189	-15600	5172	-916	-44	-33	-25	-16092	-380	-2172	196	-40	9	-11340	1724	12144	123	-75	-136	-16200	-2984	-2440	63	-73	222	-15652	-980	-3964	160	-145	266	127	127	8
