#Activity	up_by_elevator down_by_elevator standing down_by_elevator up_by_elevator down_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	10 11 8 11 10 11 8 10 8 10 8 
#Date 10-07-18-15
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9460	-9208	9040	-83	120	-161	-16492	2360	-2088	93	-38	159	-16084	1092	-2604	55	-175	137	-10132	3272	13004	99	5	-157	-16060	-1180	-1804	61	-40	-45	-16372	1448	-192	227	-57	61	126	113	10
-9456	-9124	8940	-114	156	-216	-16376	2464	-2072	89	-83	50	-15996	1164	-2644	98	-246	129	-10124	3296	13128	113	34	-158	-16112	-1056	-1732	67	-80	-106	-16340	1672	-244	255	-151	-52	125	113	10
-9468	-9140	9048	-89	128	-195	-16444	2452	-2128	116	-94	51	-16032	1100	-2876	110	-272	85	-10088	3428	13056	120	-31	-169	-16124	-1032	-1784	73	-83	-124	-16464	1664	-260	262	-139	-53	125	113	10
-9456	-9108	9020	-123	159	-201	-16396	2432	-2084	146	-91	51	-16028	1144	-2740	149	-241	77	-10148	3300	12984	92	-31	-160	-16104	-976	-1688	50	-56	-124	-16224	1704	-296	220	-131	-57	125	113	10
-9500	-9172	9072	-90	145	-175	-16432	2484	-2192	151	-96	53	-15996	1124	-2728	111	-224	78	-10024	3320	13100	133	-52	-157	-16176	-1072	-1688	80	-97	-163	-16368	1684	-268	241	-173	-35	124	112	10
-9464	-9112	9096	-118	169	-222	-16372	2496	-2060	125	-110	33	-15976	1180	-2700	97	-267	66	-10096	3348	13092	85	-23	-175	-16064	-1100	-1720	63	-129	-143	-16276	1720	-344	213	-126	-46	125	113	10
-9564	-9196	8948	-128	145	-191	-16464	2464	-2132	120	-117	9	-16028	1184	-2696	103	-282	80	-10116	3356	13080	98	-22	-170	-16168	-1076	-1848	159	-79	-143	-16348	1736	-548	203	-149	-22	125	113	10
-9468	-9224	9004	-95	153	-229	-16432	2444	-2120	125	-177	38	-15996	1200	-2772	103	-255	56	-10128	3288	13180	135	-26	-159	-16132	-1072	-1768	143	-114	-107	-16352	1636	-416	197	-112	-108	125	113	10
-9572	-9204	8880	-128	135	-222	-16456	2404	-2196	92	-152	12	-16080	1124	-2696	123	-258	36	-10052	3236	12992	98	33	-175	-16148	-1016	-1884	130	-194	-189	-16356	1628	-272	92	-131	-112	125	113	10
-9436	-9144	8968	-133	155	-209	-16324	2372	-2184	55	-131	-12	-16032	1120	-2680	124	-273	14	-10100	3180	13116	141	-28	-174	-16044	-952	-1816	224	-205	-185	-16144	1412	-280	211	-75	-185	125	113	10
-9516	-9200	9072	-117	130	-205	-16368	2388	-2088	85	-132	-16	-15984	1076	-2772	115	-312	6	-10164	3400	13192	127	42	-166	-16228	-1100	-1652	172	-147	-213	-16348	1956	-244	124	-93	-49	125	113	10
-9552	-9128	8932	-117	136	-229	-16388	2468	-2060	20	-137	-52	-16040	1240	-2684	0	-270	15	-10196	3372	12944	76	15	-171	-16124	-1196	-1592	-74	-147	-233	-16504	1624	-44	45	-225	-115	125	113	10
-9580	-9176	9012	-173	145	-210	-16452	2464	-2136	113	-170	-63	-16076	1160	-2848	83	-309	33	-10140	3404	12952	111	-26	-142	-16092	-1124	-1564	-39	-85	-211	-16388	1676	4	-14	-219	-126	125	113	10
-9508	-9140	9124	-133	174	-233	-16484	2384	-2012	121	-185	-28	-16024	1068	-2776	114	-312	-10	-10040	3380	13160	95	-29	-152	-16072	-1160	-1668	-6	-32	-169	-16408	1548	-132	107	-165	-115	125	112	10
-9604	-9260	9028	-188	99	-246	-16516	2352	-2136	64	-234	-29	-15996	984	-2748	110	-298	18	-10056	3248	13040	93	-53	-168	-16092	-1028	-1676	23	-54	-213	-16328	1560	-248	251	-205	-126	125	113	10
-9504	-9156	8888	-170	169	-217	-16436	2344	-2104	124	-221	-58	-16020	1012	-2660	229	-276	17	-10152	3200	13064	76	4	-179	-16104	-1180	-1880	-15	-33	-241	-16260	1528	-176	290	-231	-127	125	113	10
