#Activity	going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up standing 
#ActivityID	3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 8 
#Date 10-07-17-50
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9900	-7856	9600	-1591	701	522	-15380	972	-3244	-4137	-469	-1395	-15776	-112	2088	-4854	8301	2051	1056	-248	7944	14280	-15043	12045	-1520	-1060	-6652	1878	-16180	-4723	-11516	2564	1084	-5832	-13824	1994	125	114	3
-10076	-7780	9728	-2308	537	870	-16464	-928	-3648	-3736	51	-1129	-15832	-2456	568	-6845	7126	3953	20	-2372	9044	18851	-18857	7875	-2136	-1556	-6692	8302	-20031	-4660	-10872	788	1384	-9057	-11006	-53	126	115	3
-9652	-8812	10084	-2259	319	1433	-16964	-1048	-4392	-831	174	-719	-16824	-3656	-360	-6215	7019	2993	-3332	-1620	9628	23066	-22912	3083	-2764	-872	-7696	13778	-23186	-4510	-10132	-928	1400	-8966	-7598	-602	119	112	3
-9688	-8140	10100	-930	872	2015	-16208	100	-4220	-1007	-5	-88	-17364	-3016	-1928	-4101	7979	3057	-6384	-936	9132	24953	-24618	2110	-3812	136	-9276	16630	-25778	-4161	-10416	-460	2064	-7271	-4537	-1163	127	116	3
-9940	-7360	10616	-110	2153	2276	-17016	528	-4932	-578	321	404	-17568	-2888	-1420	-1592	7400	2896	-10736	248	7308	23469	-23274	6630	-5472	2772	-12040	14549	-27328	-5080	-9152	348	2400	-5815	-3030	-777	114	109	3
-9984	-7836	10084	-241	2945	2363	-16772	652	-5164	1900	-64	993	-16900	-1032	-2740	-128	7038	3608	-16040	-3980	6528	19270	-18299	15767	-6436	6412	-14000	7077	-26390	-5985	-8348	3608	4160	-4323	-3056	883	131	118	3
-10320	-7456	10036	-274	3416	2695	-16584	888	-5120	2118	-77	955	-15996	-596	-2100	2784	7537	4632	-22972	-11016	6076	12031	-13836	23288	-7368	9348	-15732	-5246	-24365	-7627	-6792	2960	9460	-485	-1694	1559	131	118	3
-10320	-7212	10112	-254	4077	2642	-16800	1236	-4764	1188	-772	1608	-15820	-2016	-1108	7138	7135	4885	-26524	-17688	4444	5549	-10673	24417	-8412	8624	-17596	-14705	-19890	-9343	-4448	4368	10844	1119	3430	4067	138	122	3
-10792	-7124	10636	-614	5436	2648	-17772	1868	-4084	1095	-408	1886	-17508	-2132	-1024	9463	5798	5326	-26908	-23728	912	2447	-6310	18461	-6288	6788	-16412	-14024	-13918	-8285	-4660	4776	9112	-1415	9502	6609	145	126	3
-10804	-6816	10660	-1487	7042	2578	-17896	2252	-2844	829	351	2324	-19104	-1132	-300	9743	4234	6081	-27168	-21820	-2972	-1907	-3103	8004	-4168	5912	-15240	-8711	-7620	-4622	-7116	-840	7044	-1091	9707	6300	140	123	3
-10688	-7360	10332	-3050	8924	2811	-18364	2536	-2100	-1055	1626	2460	-19520	140	1068	8491	2792	5625	-23380	-14528	-4488	-3732	757	609	-2884	7180	-13712	-4817	-3123	247	-7384	-2376	3496	3285	11415	5489	134	119	3
-10776	-8152	10332	-3861	10815	3630	-18096	3016	-372	-3888	3185	2415	-19408	2484	2344	5428	874	4432	-22264	-13128	-4848	-3774	1195	15	-21576	-1028	-19076	-3678	4777	3963	-7832	-632	21312	10454	10584	3820	126	116	3
-10832	-8924	10172	-3384	12485	5425	-18944	1256	-912	-3923	4669	2171	-18540	3264	2224	1238	-1110	4498	4668	3092	14972	5094	-152	5852	-32768	-13376	-2164	11866	6486	-3480	-20848	9516	27320	7165	6087	4750	126	115	3
-11424	-8620	9764	-2221	14323	7631	-19768	-1076	-1788	-2764	5630	2623	-19504	3280	3884	-5934	-567	2352	-10980	9548	12564	-2066	996	-4013	-23456	12048	-5300	-21811	-1791	3857	-32768	-9848	8828	1750	14949	4373	119	111	3
-12132	-9088	9084	-2793	16755	9393	-20460	2988	440	-2746	5826	3768	-21056	3748	5452	-7947	-2394	985	-8516	-3508	12848	-2169	-950	-5232	-2324	-10928	-11256	-4166	-603	5005	-11292	-2928	3588	14217	8824	-4101	115	109	3
-13236	-8992	10352	-2786	19093	11709	-19976	2440	2684	-5974	7744	3832	-21384	3268	7632	-7077	-7256	-123	-9360	-3772	12960	2256	-982	1494	-8780	520	-11548	3127	2288	907	-328	4508	5148	8889	11714	-2143	114	108	3
-13856	-10404	9804	-2774	21712	14788	-23200	1068	3612	-6538	10713	2474	-21884	672	9412	-6218	-12329	-2043	-11636	4800	13224	1960	-2635	1687	-18776	4832	-5348	1724	1063	2202	-6236	9076	9696	4983	9703	-2238	131	118	3
-29568	-13336	12992	-6313	22023	16718	-24028	-264	-3608	582	14425	6432	-22624	-10388	13264	-1394	-16907	-8276	-9852	2008	14244	-773	-1444	-1471	-16180	7728	-7280	-3999	-191	-98	-21028	5648	10376	3614	9749	3513	174	141	3
-32768	-2820	5936	-11519	19684	16161	-25060	1444	-5992	7017	16450	9488	-20772	-9308	9220	701	-13764	-7400	-9832	1972	13748	-1125	-1516	-1141	-14916	2768	-7424	-5386	13	-835	-13272	13220	5908	4240	10258	244	200	156	3
-32768	-5444	352	8755	16201	24890	-22712	1648	-26280	10550	25403	8411	-21448	-2320	8896	2067	-18068	-1520	-9420	1556	13808	-1009	-1535	-486	-14360	928	-8740	-963	-412	-1353	-15092	11836	5740	-4568	8840	378	158	131	3
-32768	-3704	3936	12839	4645	18895	-27320	7456	-17544	9811	31899	5073	-22564	-1664	7424	2188	-19166	-792	-9344	1300	14304	-755	-1015	-66	-15748	1976	-9884	-482	-1592	-1710	-17424	3020	4972	-9598	10080	1173	118	111	3
-32768	-7300	6912	1482	7858	20805	-25760	6500	-18800	5751	32767	10807	-31976	3552	-3844	2308	-20114	-4818	-8944	1272	14392	-303	-146	374	-15820	-184	-9912	-2219	-2625	-1623	-18120	-4816	5900	-5650	10602	791	120	111	3
-25852	-12840	9568	992	4475	18975	-16940	4392	-16868	-3888	28371	7470	-27708	2316	-6728	5938	-23981	-5590	-8940	1332	14444	299	728	521	-15220	-1304	-9620	-2122	-3623	-928	-17516	-4024	5704	1754	10132	-221	105	102	3
-18220	-13100	10200	6069	462	17583	-16408	1664	-14576	-3398	25502	8443	-25368	-3188	-2488	5376	-26947	-7156	-9188	1544	14180	711	1284	672	-14784	-172	-9116	97	-4319	418	-16548	1684	3952	4904	10780	-127	128	119	3
-10388	-11708	10236	8477	-4433	13376	-10876	1732	-14004	-1116	21490	7897	-21284	284	-164	6327	-25143	-9737	-9104	1332	14060	1030	1487	777	-14712	160	-8128	1709	-4972	660	-16476	3824	3980	4890	10872	-340	75	86	3
-3680	-11024	9360	8936	-8435	8583	-9588	1156	-10132	1444	14228	7407	-20388	3760	864	480	-23079	-11040	-9668	1680	14328	1213	1314	742	-15352	2036	-6512	2968	-5355	330	-16180	4620	3948	5609	11152	-1815	80	90	3
384	-10760	8352	8185	-12237	3915	-7676	1420	-8344	5214	8680	6301	-18612	1384	1216	-4983	-22385	-10393	-9628	2040	13924	1002	1911	887	-15696	3248	-4768	2331	-5423	-197	-15252	6020	4004	6834	10748	-2977	173	140	3
