#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up 
#ActivityID	8 3 1 3 1 3 1 3 1 3 
#Date 10-07-17-37
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10144	-5972	10756	-64	115	-167	-16488	904	-2480	-148	-79	304	-15828	804	-3776	-334	-232	84	-10152	2668	13200	148	-50	-102	-15908	-1844	-2916	-128	14	11	-16304	1588	-796	-80	92	122	124	115	8
-10148	-5900	10812	-103	109	-196	-16484	804	-2316	-175	-83	253	-15804	808	-3752	-373	-239	109	-10164	2676	13136	167	-47	-108	-15868	-1960	-2832	-84	4	83	-16288	1708	-776	-103	81	108	124	115	8
-10116	-6012	10736	-89	140	-131	-16472	820	-2484	-170	-124	278	-15824	836	-3740	-312	-205	183	-10160	2700	13292	139	-54	-117	-15940	-1780	-2856	-104	-15	40	-16276	1740	-648	-45	110	119	124	114	8
-10120	-5976	10768	-62	65	-144	-16468	800	-2460	-115	-100	283	-15828	736	-3840	-207	-210	200	-10140	2640	13096	139	-23	-75	-15804	-1748	-2872	-162	-63	110	-16288	1800	-544	-75	174	106	125	115	8
-10160	-6000	10760	-124	104	-171	-16516	832	-2436	-30	-153	269	-15864	776	-3776	-90	-212	197	-10216	2760	13152	138	-84	-111	-15816	-1652	-2776	-264	-7	72	-16288	1832	-576	-206	172	103	125	115	8
-10144	-5928	10876	-73	104	-140	-16520	876	-2340	1	-123	304	-15796	824	-3588	-14	-173	249	-10180	2728	12984	100	-53	-141	-15908	-1740	-2684	-310	-33	25	-16300	1768	-572	-262	204	149	125	115	8
-10172	-5960	10860	-109	96	-120	-16468	828	-2220	-21	-109	319	-15844	968	-3564	9	-173	272	-10096	2700	13124	144	-74	-84	-15916	-1772	-2792	-300	17	28	-16356	1756	-556	-345	188	149	125	115	8
-10100	-5944	10780	-99	69	-125	-16520	860	-2324	-20	-90	321	-15820	936	-3644	-54	-199	266	-10152	2724	13188	160	-38	-125	-15928	-1912	-2740	-237	28	16	-16316	1644	-472	-357	204	128	125	115	8
-10216	-5992	10824	-54	131	-123	-16492	772	-2276	-70	-72	321	-15820	824	-3512	-148	-201	240	-10128	2724	13200	169	-66	-110	-15836	-1736	-2836	-190	103	44	-16256	1664	-492	-255	263	100	125	115	8
-10176	-5944	10712	-67	102	-139	-16524	752	-2336	-93	-12	340	-15896	824	-3648	-125	-181	240	-10168	2732	13224	131	-52	-123	-15880	-1704	-2784	-195	141	68	-16312	1720	-648	-136	151	146	125	115	8
-10168	-5920	10728	-57	102	-126	-16500	952	-2304	-122	4	324	-15864	832	-3548	-193	-188	279	-10148	2760	13112	167	-65	-134	-15864	-1856	-2852	-133	136	25	-16316	1732	-628	-61	146	180	125	115	8
-10144	-5976	10784	-32	132	-107	-16492	800	-2220	-117	20	369	-15896	908	-3516	-308	-164	265	-10176	2684	13136	134	-31	-140	-15816	-1740	-2820	-172	168	21	-16280	1724	-504	-19	131	161	125	115	8
-10184	-5928	10796	-39	93	-120	-16504	780	-2244	-23	49	392	-15876	856	-3544	-259	-201	265	-10168	2724	13160	137	-51	-128	-15900	-1800	-2940	-129	161	26	-16284	1716	-552	40	197	189	125	115	8
-10176	-5936	10804	-33	131	-105	-16496	932	-2316	-45	80	379	-15892	892	-3660	-221	-188	288	-10188	2676	13116	144	-15	-115	-15940	-1708	-2872	-110	190	60	-16304	1716	-656	85	186	203	125	115	8
-10156	-5920	10796	-20	150	-89	-16428	928	-2312	-66	136	363	-15884	932	-3572	-175	-149	306	-10100	2716	13212	123	-59	-94	-15812	-1840	-2900	-125	213	93	-16272	1820	-680	-2	175	200	125	115	8
-10136	-5900	10752	-33	127	-96	-16496	840	-2416	-69	171	435	-15776	912	-3544	-126	-153	285	-10108	2740	13116	163	-9	-122	-15804	-1744	-2972	-140	203	57	-16268	1812	-908	-21	177	215	125	115	8
-10180	-5920	10764	-68	126	-89	-16512	1020	-2396	16	162	378	-15812	984	-3612	-125	-179	316	-10152	2700	13180	168	-1	-115	-15876	-1752	-2936	-98	163	63	-16316	1820	-636	-50	217	233	125	115	8
-10136	-5936	10724	-73	89	-98	-16464	1008	-2364	-31	148	396	-15856	960	-3636	-123	-130	347	-10108	2716	13148	168	-32	-121	-15904	-1756	-3108	-122	116	35	-16268	1836	-836	-90	193	226	125	115	8
-10168	-5924	10736	-88	147	-126	-16500	944	-2416	-56	157	430	-15884	1008	-3676	-93	-126	339	-10140	2720	13080	155	-7	-133	-15900	-1696	-2860	-130	170	36	-16324	1772	-720	-79	245	191	125	115	8
-10120	-5944	10760	-70	133	-123	-16456	1020	-2548	-28	124	424	-15804	964	-3832	-56	-78	429	-10152	2740	13188	142	-20	-122	-15868	-1712	-2936	-120	174	98	-16296	1752	-648	-69	247	159	125	115	8
-10184	-5920	10788	-111	128	-125	-16492	1068	-2352	-41	124	424	-15792	968	-3768	-79	-67	399	-10164	2736	13156	135	7	-122	-15896	-1676	-2940	-47	229	65	-16300	1784	-636	-52	220	210	125	115	8
