#Activity	sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing 
#ActivityID	5 7 8 6 5 7 8 6 5 7 8 
#Date 10-07-17-26
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-12104	-2488	10188	-80	132	-164	-14392	1140	-8244	66	13	101	-3688	-5680	15412	-48	-119	202	-10476	1580	13124	95	-24	-158	-14188	-3380	-7220	23	-22	-110	-1940	780	16964	162	-2	35	124	115	5
-11996	-2444	10260	-107	173	-164	-14324	1068	-8264	86	-42	74	-3728	-5720	15168	-109	-161	195	-10524	1604	13092	84	-12	-151	-14168	-3440	-7288	-11	-48	-104	-1924	776	17000	152	-3	46	124	115	5
-12064	-2484	10304	-132	169	-152	-14372	1016	-8248	94	-36	93	-3668	-5756	15292	-43	-140	175	-10488	1488	12980	94	-31	-145	-14160	-3444	-7324	-4	-54	-92	-1912	720	16992	150	-29	61	124	115	5
-12068	-2460	10248	-137	153	-150	-14368	1016	-8328	78	-25	109	-3688	-5756	15272	-17	-141	199	-10452	1564	13044	119	-58	-141	-14108	-3392	-7240	-2	-51	-80	-1928	768	17004	153	-15	65	124	115	5
-12008	-2472	10204	-114	107	-159	-14400	1020	-8280	79	-17	100	-3704	-5784	15296	9	-135	171	-10484	1536	13136	108	-56	-149	-14164	-3352	-7240	-15	-82	-99	-1884	708	17056	132	1	82	124	115	5
-12016	-2524	10116	-130	117	-210	-14420	1004	-8192	69	-99	118	-3592	-5844	15316	30	-118	178	-10548	1564	13032	129	-25	-156	-14148	-3396	-7212	-28	-91	-100	-1884	800	16972	144	-20	73	124	115	5
-12064	-2468	10108	-89	109	-179	-14328	1024	-8216	48	-90	130	-3548	-5820	15292	6	-133	154	-10376	1512	13048	110	-24	-158	-14220	-3340	-7372	24	-99	-92	-1884	796	16852	142	-47	103	124	115	5
-12048	-2480	10280	-76	104	-198	-14448	1000	-8200	52	-69	146	-3624	-5828	15240	-26	-103	160	-10516	1540	13120	77	-13	-132	-14188	-3324	-7212	59	-76	-82	-1772	676	17028	155	-5	84	124	115	5
-12044	-2480	10112	-136	109	-167	-14368	1032	-8180	58	-26	180	-3620	-5800	15244	49	-118	150	-10436	1544	13108	99	-28	-133	-14140	-3328	-7112	0	-91	-107	-1852	708	16980	161	23	58	124	115	5
-12032	-2592	10148	-101	120	-141	-14448	992	-8240	26	-89	148	-3628	-5812	15332	85	-116	203	-10428	1620	13144	86	-26	-158	-14120	-3400	-7156	10	-68	-70	-1868	708	16948	152	-14	69	124	115	5
-12084	-2468	10144	-102	93	-162	-14392	988	-8196	43	-48	173	-3564	-5724	15276	85	-99	178	-10448	1524	13068	118	-56	-143	-14164	-3384	-7200	-1	-82	-132	-1768	728	16936	180	-14	41	124	115	5
-12080	-2516	10312	-68	117	-183	-14388	1012	-8232	46	-41	166	-3600	-5772	15324	53	-106	137	-10392	1580	13180	113	-43	-122	-14148	-3396	-7304	-22	-57	-64	-1796	704	16988	171	-22	59	124	115	5
-12036	-2548	10288	-104	108	-159	-14416	1056	-8320	58	6	190	-3616	-5648	15216	9	-90	141	-10424	1608	12924	115	-4	-172	-14184	-3352	-7228	-23	-35	-58	-1848	692	17008	164	-11	49	125	115	5
-12040	-2476	10240	-106	124	-164	-14444	1040	-8184	39	-9	178	-3600	-5752	15320	33	-128	142	-10476	1496	13060	109	-54	-117	-14112	-3364	-7256	21	-29	-51	-1848	724	16924	207	-26	66	125	115	5
-12020	-2516	10248	-88	120	-145	-14316	1080	-8276	53	-15	195	-3644	-5708	15288	9	-118	145	-10440	1572	13128	118	-2	-152	-14144	-3436	-7220	10	-47	-52	-1912	780	16976	196	10	14	125	115	5
-12092	-2476	10324	-119	107	-171	-14376	1064	-8408	36	-12	157	-3580	-5696	15280	44	-141	199	-10504	1540	13056	84	2	-151	-14204	-3372	-7252	10	4	-25	-1812	788	16892	204	1	55	125	115	5
-12064	-2492	10164	-102	149	-143	-14400	1056	-8260	61	-25	139	-3632	-5644	15240	-2	-135	186	-10484	1528	13096	106	-32	-139	-14176	-3332	-7268	-13	-48	-85	-1876	844	17004	199	6	76	124	115	5
-12056	-2536	10192	-123	137	-164	-14384	1080	-8204	74	0	127	-3672	-5624	15400	1	-150	193	-10448	1560	13120	121	9	-177	-14192	-3368	-7344	-37	-49	-86	-1840	792	16884	196	-30	63	125	115	5
-12028	-2540	10348	-91	138	-158	-14388	1040	-8244	91	-1	137	-3640	-5776	15304	-1	-117	171	-10528	1588	13060	92	-27	-147	-14160	-3332	-7272	-8	-82	-115	-1896	784	16892	135	-9	71	125	115	5
-12084	-2488	10132	-114	158	-175	-14336	1024	-8244	85	-20	116	-3584	-5760	15224	-12	-150	214	-10512	1588	13104	86	-46	-94	-14156	-3364	-7404	39	-58	-122	-1900	828	17040	144	-35	56	125	115	5
-11992	-2536	10228	-131	143	-156	-14372	980	-8260	31	-35	118	-3640	-5716	15228	-20	-118	217	-10496	1564	12988	98	-39	-131	-14128	-3344	-7300	19	-48	-113	-1908	800	17000	106	26	51	125	115	5
-12048	-2528	10224	-130	121	-173	-14376	1012	-8148	54	-7	99	-3596	-5740	15204	-32	-124	167	-10412	1548	13156	110	-62	-148	-14172	-3368	-7280	42	-77	-110	-1880	824	17120	121	-1	47	125	115	5
-12036	-2472	10280	-146	183	-190	-14400	1012	-8276	78	-10	116	-3588	-5768	15320	-9	-150	163	-10404	1600	13076	93	-74	-123	-14144	-3344	-7220	33	-41	-120	-1816	768	16740	147	-19	83	125	115	5
-12028	-2528	10300	-107	128	-172	-14380	1008	-8256	45	-11	128	-3616	-5772	15168	-11	-92	134	-10452	1576	13044	82	-27	-137	-14160	-3424	-7232	56	-64	-116	-1868	812	16984	104	1	53	124	115	5
