#Activity	sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting 
#ActivityID	5 7 8 6 5 7 8 6 5 
#Date 10-10-17-40
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10648	-2900	11428	-98	128	-225	-15548	-2256	-4012	41	-33	-71	-3428	-1920	16276	-15	-103	170	-9252	3624	13360	108	-47	-161	-16220	-248	-3564	144	13	107	-1748	2948	16608	160	-6	30	127	127	5
-10612	-2952	11400	-91	133	-190	-15484	-2208	-4108	-16	-38	-39	-3468	-1816	16364	18	-129	141	-9292	3696	13532	131	11	-177	-16260	-248	-3552	104	-15	139	-1816	2884	16900	178	1	63	127	127	5
-10576	-2936	11468	-95	154	-199	-15544	-2320	-3912	-54	-47	-49	-3496	-1864	16248	54	-137	147	-9272	3636	13288	181	-30	-149	-16188	-308	-3648	44	3	119	-1736	2932	16732	203	-7	13	127	127	5
-10632	-2928	11472	-88	170	-199	-15444	-2316	-3868	-50	-32	-69	-3408	-1768	16216	43	-117	178	-9244	3712	13376	148	-94	-200	-16148	-276	-3592	31	-12	133	-1804	2968	16756	175	19	36	127	127	5
-10552	-2944	11396	-92	141	-184	-15540	-2368	-3956	-10	-62	-65	-3504	-1732	16188	5	-128	153	-9252	3676	13332	136	-25	-148	-16224	-272	-3564	83	5	104	-1800	2936	16688	177	-5	22	127	127	5
-10564	-2860	11424	-78	166	-190	-15548	-2264	-4028	-38	-54	-64	-3492	-1844	16216	25	-110	143	-9256	3716	13396	134	-66	-168	-16136	-312	-3736	77	13	110	-1860	2920	16680	138	-7	20	127	127	5
-10620	-2916	11528	-92	133	-155	-15520	-2312	-4140	-13	-49	-63	-3532	-1860	16284	24	-113	120	-9308	3692	13412	147	-26	-158	-16224	-268	-3604	49	-14	104	-1832	2916	16740	153	-10	40	127	127	5
-10584	-2948	11468	-44	134	-170	-15540	-2320	-4080	10	-40	-81	-3488	-1808	16184	12	-118	137	-9312	3688	13344	119	-43	-194	-16168	-288	-3676	50	-46	85	-1820	2764	16792	158	39	35	127	127	5
-10588	-2948	11480	-88	172	-182	-15452	-2256	-4024	41	-74	-61	-3552	-1888	16128	43	-89	148	-9312	3688	13480	98	-11	-168	-16284	-324	-3668	57	-38	117	-1856	2888	16692	224	10	34	127	127	5
-10576	-2940	11460	-81	145	-185	-15492	-2272	-4024	5	-77	-60	-3468	-1760	16236	40	-111	110	-9252	3648	13344	157	-81	-156	-16172	-348	-3708	80	-38	116	-1848	2888	16676	203	-3	15	127	127	5
-10680	-2948	11528	-93	161	-152	-15520	-2248	-3992	-31	-51	-17	-3408	-1784	16236	51	-99	128	-9204	3660	13476	125	-63	-148	-16180	-196	-3568	98	-44	140	-1828	2808	16776	168	-10	-10	127	127	5
-10620	-2872	11432	-104	151	-171	-15512	-2260	-3988	-45	-33	-33	-3412	-1848	16288	-2	-150	139	-9268	3636	13360	134	-45	-188	-16208	-264	-3628	127	-57	123	-1784	2936	16776	176	1	18	127	127	5
-10584	-2864	11416	-77	161	-189	-15512	-2308	-3980	-25	-39	-67	-3428	-1796	16200	41	-136	128	-9284	3696	13424	179	-36	-170	-16248	-308	-3672	70	-27	126	-1880	2936	16776	188	-11	14	127	127	5
-10568	-2920	11440	-64	156	-191	-15540	-2272	-4008	-14	-29	-86	-3436	-1840	16224	16	-122	164	-9284	3640	13456	174	-50	-155	-16236	-200	-3656	49	-47	130	-1824	2964	16668	215	5	-8	127	127	5
-10560	-2920	11512	-66	139	-197	-15476	-2196	-4076	38	-58	-68	-3492	-1828	16200	40	-120	138	-9288	3720	13440	151	-46	-158	-16220	-308	-3640	75	-18	179	-1804	2896	16700	169	-20	-10	127	127	5
-10600	-2988	11408	-55	152	-158	-15524	-2252	-4040	4	-90	-79	-3528	-1812	16184	18	-144	116	-9304	3660	13396	131	-45	-145	-16244	-308	-3532	46	-34	110	-1776	2852	16656	184	2	-2	127	127	5
-10592	-2908	11424	-103	160	-179	-15528	-2216	-3968	-37	-22	-94	-3428	-1836	16172	5	-131	141	-9272	3668	13432	158	-73	-180	-16192	-312	-3568	53	-42	136	-1740	2884	16840	194	-16	9	127	127	5
-10612	-2948	11440	-87	149	-195	-15528	-2288	-4108	-24	-30	-66	-3432	-1904	16320	-19	-100	130	-9304	3636	13416	190	-61	-163	-16276	-296	-3596	94	-47	129	-1816	2944	16880	160	0	24	127	127	5
-10548	-2904	11400	-79	160	-180	-15492	-2340	-4088	-19	-44	-89	-3420	-1888	16340	6	-107	125	-9296	3632	13424	120	-80	-166	-16200	-216	-3504	117	-32	172	-1812	2912	16700	216	19	-8	127	127	5
