#Activity	standing going_down walking going_down walking going_down walking 
#ActivityID	8 4 1 4 1 4 1 
#Date 10-10-17-52
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10016	-3416	11736	-113	123	-211	-16116	-756	-1540	-102	-8	-107	-15384	-592	-5488	-152	-272	-43	-9168	3436	13580	91	-156	-188	-16636	100	-1288	-324	83	8	-15576	896	-4556	-475	96	-263	126	128	8
-10024	-3524	11824	-139	119	-220	-16152	-648	-1524	-85	-91	-96	-15204	-816	-5356	-146	-260	-23	-9204	3404	13484	106	-123	-171	-16644	0	-1412	-468	82	52	-15616	660	-4644	-401	110	-266	126	128	8
-9976	-3496	11776	-155	89	-280	-16128	-668	-1556	-283	-86	-35	-15228	-928	-5448	-312	-217	2	-9156	3380	13512	143	-122	-125	-16684	16	-1276	-177	61	99	-15552	596	-4544	-304	62	-167	126	129	8
-9972	-3496	11748	-90	94	-210	-16216	-836	-1404	-451	-196	-64	-15196	-888	-5352	-385	-130	-26	-9144	3472	13540	125	-98	-177	-16732	96	-1204	-90	69	79	-15600	536	-4528	-61	24	-41	126	129	8
-10024	-3572	11808	-65	88	-213	-16184	-756	-1340	-489	-216	-37	-15308	-852	-5084	-225	-103	8	-9176	3352	13556	117	-5	-175	-16644	116	-1292	-36	58	75	-15720	636	-4448	125	2	40	126	129	8
-10016	-3516	11748	-77	88	-214	-16112	-712	-1020	-386	-175	19	-15480	-1040	-4776	-71	-10	73	-9208	3364	13528	133	-32	-157	-16700	-28	-1440	173	6	134	-15668	764	-4568	348	-11	127	126	129	8
-10012	-3572	11744	-51	80	-207	-16124	-704	-832	-147	-78	8	-15568	-984	-4744	89	44	209	-9132	3384	13644	165	6	-160	-16576	92	-1376	416	-40	138	-15580	920	-4476	474	-17	171	126	129	8
-9892	-3436	11756	-35	73	-187	-16308	-616	-860	120	9	-77	-15764	-960	-4428	362	211	388	-9160	3284	13584	151	-91	-159	-16404	400	-1152	513	38	127	-15684	1012	-4444	520	-125	231	126	129	8
-10200	-3596	11736	-42	105	-170	-16184	-668	-584	169	77	2	-15784	-1020	-4460	635	253	552	-9188	3356	13612	64	-107	-162	-16436	356	-1232	261	10	92	-15644	972	-4580	665	-259	310	126	129	8
-10004	-3492	11856	8	93	-120	-16060	-756	-684	503	258	-36	-15748	-976	-4660	911	252	641	-9128	3416	13720	74	-181	-136	-16608	156	-1388	358	75	53	-15636	812	-4600	799	-396	352	126	129	8
-10040	-3480	11952	24	138	-119	-16088	-876	-844	934	421	-42	-15616	-748	-5168	984	81	697	-9172	3360	13560	75	-171	-177	-16764	-36	-1444	629	50	82	-15616	528	-4756	1149	-488	452	125	130	8
-10040	-3336	11920	33	153	-102	-16184	-664	-1296	1031	463	-16	-15596	-252	-5488	885	-226	578	-9172	3364	13548	91	-26	-204	-16824	-124	-1536	782	-54	130	-15500	348	-5016	1324	-517	516	125	129	8
-10028	-3472	11796	3	190	-135	-16236	-580	-1636	857	373	54	-15132	176	-5904	154	-600	325	-9220	3276	13568	162	40	-130	-16772	-208	-1732	767	-137	192	-15408	460	-5180	1461	-564	505	125	129	8
-10056	-3412	11748	-68	220	-182	-16140	-576	-2212	310	184	31	-14816	120	-6328	-580	-840	-9	-9180	3424	13592	245	11	-89	-16724	-312	-1668	584	-245	306	-15240	536	-5104	1279	-452	475	125	129	8
-10012	-3452	11764	-76	115	-172	-16192	-480	-2196	216	151	12	-14520	-176	-6636	-1085	-970	-345	-9160	3416	13552	279	142	-59	-16620	-364	-1804	506	-397	389	-15192	880	-5008	956	-330	354	126	129	8
