#Activity	standing going_down walking going_down walking going_down walking standing 
#ActivityID	8 4 1 4 1 4 1 8 
#Date 10-10-17-53
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10388	-4160	11320	-119	89	-177	-16504	-792	-1428	20	-672	155	-14952	-908	-6644	-119	-555	98	-8904	3560	13708	244	61	-100	-16804	-108	-1988	562	-532	592	-15440	940	-4988	646	-408	473	127	127	8
-10356	-4108	11308	-171	218	-281	-16068	-764	-1088	96	-716	35	-14836	-532	-6244	-210	-580	162	-8984	3540	13776	272	57	-33	-16492	24	-1868	798	-596	629	-15284	1120	-5048	670	-272	382	127	127	8
-10300	-4088	11352	-304	304	-344	-15992	-904	-1180	110	-678	-3	-14972	-676	-6024	-101	-546	267	-8952	3496	13728	303	37	-41	-16420	280	-1740	601	-644	621	-15348	1316	-4632	599	-214	268	127	127	8
-10248	-4244	11196	-259	281	-341	-16276	-904	-1052	-32	-712	-19	-15128	-876	-6280	144	-477	158	-8932	3516	13712	340	86	10	-16548	320	-1720	547	-639	633	-15508	1188	-4408	430	-66	123	127	127	8
-10240	-4152	11288	-306	279	-301	-16296	-1240	-1088	-100	-750	-38	-15156	-952	-6104	134	-446	96	-8916	3632	13640	316	21	-10	-16540	416	-1396	52	-674	554	-15612	1324	-4272	208	61	136	128	127	8
-10380	-4208	11252	-242	253	-288	-15932	-1100	-824	35	-720	-5	-15092	-884	-5844	-32	-420	50	-9008	3596	13712	326	-52	29	-16444	604	-1196	-3	-555	537	-15684	1268	-4060	170	-23	68	128	127	8
-10340	-4144	11108	-193	163	-271	-16064	-1036	-884	30	-597	-38	-15148	-640	-5760	-363	-472	-55	-8900	3644	13696	282	-51	-48	-16512	768	-1180	-41	-477	466	-15712	1420	-3932	45	-48	65	128	127	8
-10252	-4328	11200	-159	115	-269	-16156	-888	-724	-145	-657	-61	-15104	-572	-5840	-383	-532	-64	-8932	3724	13644	225	-69	-63	-16628	580	-1316	-177	-397	405	-15672	1376	-4148	14	33	49	128	127	8
-10248	-4252	11296	-182	168	-255	-16340	-1056	-756	-173	-634	-126	-15264	-792	-5768	-523	-377	-191	-8920	3752	13600	193	-55	-103	-16684	524	-1232	-105	-320	328	-15680	1400	-4132	-15	60	4	128	127	8
-10284	-4220	11312	-293	326	-177	-16464	-892	-828	-165	-760	-56	-15276	-908	-6048	-601	-171	-175	-8900	3700	13612	231	1	-150	-16728	416	-1388	-168	-348	298	-15688	1436	-4396	-143	30	-56	128	126	8
-10308	-4152	11424	-382	409	-226	-16208	-976	-836	-241	-751	-104	-15208	-932	-5760	-591	-197	-114	-8916	3588	13656	181	-17	-149	-16720	452	-1332	-138	-350	305	-15644	1364	-4092	-356	119	-118	128	126	8
-10380	-4276	11324	-328	373	-233	-16132	-1012	-536	-497	-620	-67	-15280	-920	-5744	-566	-216	-94	-8928	3784	13544	125	-6	-217	-16568	616	-1172	-249	-294	235	-15524	1284	-4396	-515	104	-164	128	126	8
-10400	-4304	11216	-280	348	-200	-15948	-1200	-204	-336	-429	-101	-15340	-1084	-5452	-131	-283	-48	-8932	3568	13704	99	-63	-239	-16560	440	-1300	-474	-212	219	-15644	964	-4372	-332	144	-217	128	126	8
