#Activity	standing going_down walking going_down walking going_down walking walking going_down standing 
#ActivityID	8 4 1 4 1 4 1 1 4 8 
#Date 10-10-18-10
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10744	-3332	11184	2	53	-175	-16292	-988	-1632	-2	12	-1	-15564	-492	-5060	226	247	270	-9636	3128	13284	91	-63	-204	-16596	352	-1624	-15	25	58	-15400	952	-5236	53	44	14	125	129	8
-10656	-3208	11220	-47	105	-149	-16252	-972	-1616	110	-17	-8	-15564	-476	-5168	286	286	249	-9612	3108	13352	112	-14	-186	-16608	400	-1804	-71	145	29	-15364	1024	-5160	128	64	-11	125	129	8
-10720	-3208	11232	-92	140	-172	-16176	-836	-1548	202	30	-29	-15528	-328	-5164	343	172	272	-9576	3072	13460	147	-9	-182	-16660	320	-1796	1	93	82	-15336	1064	-5104	182	85	25	125	129	8
-10752	-3296	11312	-47	162	-187	-15968	-1004	-1656	179	70	-3	-15412	-436	-5036	241	59	254	-9644	3132	13364	118	-42	-174	-16620	412	-1892	35	87	79	-15336	1140	-5320	191	185	63	125	129	8
-10684	-3216	11176	-100	157	-170	-16152	-936	-1572	105	81	-48	-15564	-384	-4948	263	19	152	-9640	3084	13400	121	-17	-208	-16728	400	-1936	13	80	80	-15256	1240	-5180	250	138	81	125	129	8
-10740	-3380	11136	-88	157	-174	-16108	-980	-1608	-34	97	-50	-15508	-472	-4812	161	11	121	-9612	3140	13308	109	-76	-218	-16548	468	-1720	228	77	70	-15368	1148	-5304	303	145	57	125	128	8
-10708	-3328	11228	-74	161	-120	-16016	-1076	-1544	-95	110	-59	-15544	-640	-5024	36	69	153	-9640	3060	13344	78	-46	-181	-16524	412	-1792	168	90	74	-15336	1224	-5244	237	177	27	125	129	8
-10724	-3192	11252	-52	163	-99	-16036	-1156	-1748	57	175	1	-15444	-768	-5340	6	92	201	-9660	3072	13284	88	-35	-164	-16524	332	-1736	80	90	20	-15320	1180	-5156	275	149	4	125	130	8
-10692	-3248	11124	-64	99	-133	-16156	-1116	-1852	73	132	-34	-15332	-552	-5180	119	197	239	-9632	3152	13300	125	-55	-195	-16680	372	-1760	86	85	80	-15224	1080	-5260	206	173	-23	125	129	8
-10712	-3240	11244	-58	99	-133	-16048	-860	-1836	100	114	-12	-15380	-272	-5268	131	115	292	-9676	3108	13300	82	-50	-196	-16656	504	-1616	69	102	78	-15420	1116	-5224	129	182	-12	125	130	8
-10744	-3188	11280	-75	95	-177	-16060	-956	-1788	-56	81	-25	-15456	-364	-5196	165	-40	223	-9668	2940	13228	37	-33	-234	-16660	420	-1812	-45	55	102	-15356	1068	-5332	-85	129	-4	125	129	8
-10616	-3296	11184	-102	116	-134	-16240	-1048	-1684	-34	92	-48	-15448	-376	-5104	70	-107	148	-9492	3132	13408	111	-6	-223	-16480	228	-1724	-170	116	62	-15452	1024	-5300	-1	23	-30	125	129	8
-10672	-3392	11364	-106	105	-174	-16212	-1060	-1884	-9	17	-16	-15436	-612	-5312	38	91	139	-9628	3032	13472	78	-59	-204	-16616	504	-1820	-300	191	99	-15332	1248	-5200	-37	-4	-27	125	128	8
-10776	-3228	11280	-46	151	-131	-16144	-1112	-1796	116	16	-8	-15408	-564	-5400	24	105	96	-9704	3064	13308	106	-32	-174	-16568	324	-1856	-211	164	61	-15368	1232	-5232	-50	71	-22	125	130	8
-10656	-3208	11232	-97	172	-157	-16008	-920	-1864	-7	56	18	-15232	-536	-5376	41	43	165	-9588	3096	13384	76	-95	-207	-16628	316	-2052	-72	148	81	-15316	1092	-5404	61	110	29	126	130	8
-10712	-3128	11292	-41	156	-150	-16012	-908	-1744	82	105	79	-15316	-424	-5152	-129	-100	203	-9656	3052	13368	125	-69	-188	-16480	268	-1984	145	113	93	-15176	972	-5384	163	142	0	126	129	8
-10652	-3332	11196	-95	120	-187	-16020	-992	-1752	85	112	17	-15416	-504	-5052	-136	-88	171	-9644	2980	13300	95	-32	-213	-16552	220	-2040	194	52	103	-15176	980	-5472	155	134	23	126	129	8
-10724	-3280	11180	-78	120	-174	-16200	-996	-1572	-181	35	-16	-15544	-516	-5092	-40	-144	72	-9680	2996	13372	137	-36	-139	-16644	352	-1956	73	39	141	-15176	968	-5476	142	110	31	126	130	8
-10744	-3196	11256	-75	125	-162	-16116	-940	-1624	-166	70	43	-15484	-476	-4984	-60	-133	94	-9584	3056	13240	112	-77	-162	-16556	284	-1868	2	46	157	-15364	1008	-5352	32	90	15	126	129	8
-10748	-3188	11296	-62	94	-141	-16068	-932	-1752	-71	83	-32	-15324	-500	-5204	-89	-95	135	-9708	3068	13268	137	-14	-232	-16676	428	-1548	94	19	188	-15476	1112	-5176	-30	-7	13	126	130	8
-10712	-3356	11128	-79	71	-180	-16084	-1060	-1852	89	91	29	-15384	-556	-5276	85	-165	122	-9652	3156	13428	137	-25	-152	-16512	500	-1836	-113	75	165	-15408	1124	-5088	-47	-8	34	125	128	8
-10720	-3236	11260	-48	124	-195	-16092	-1008	-1876	129	81	31	-15312	-540	-5264	95	-155	159	-9640	3064	13416	141	-17	-210	-16568	436	-1740	-154	120	106	-15284	1192	-5136	206	3	11	125	130	8
-10684	-3260	11180	-60	88	-163	-16220	-956	-1860	18	6	35	-15396	-592	-5412	22	-69	208	-9620	3144	13316	157	-27	-196	-16656	348	-1992	2	72	121	-15320	1284	-5364	182	21	78	125	130	8
-10824	-3240	11180	-75	95	-155	-16100	-936	-2028	-143	-23	-23	-15324	-548	-5420	13	-44	231	-9632	3052	13320	127	-20	-199	-16548	252	-2084	178	65	93	-15376	1076	-5400	134	73	92	126	128	8
