#Activity	standing standing up_by_elevator standing up_by_elevator standing up_by_elevator standing down_by_elevator up_by_elevator down_by_elevator standing down_by_elevator 
#ActivityID	8 8 10 8 10 8 10 8 11 10 11 8 11 
#Date 10-10-18-22
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10264	-2996	11736	-166	124	-196	-16072	-2112	-920	-44	-37	-45	-15156	-716	-5660	-68	-96	73	-9156	3856	13500	120	-105	-170	-16752	224	896	87	-35	42	-16180	1296	3152	1	-37	-10	125	128	8
-10288	-2980	11688	-108	123	-178	-16092	-2276	-816	-114	-103	-75	-15188	-680	-5768	-85	-157	93	-9276	3788	13392	99	-36	-166	-16740	340	832	134	-25	116	-16204	1220	3280	61	36	-38	125	128	8
-10292	-3056	11540	-126	134	-222	-16036	-2260	-1036	-31	-100	-78	-15212	-776	-5744	39	-137	53	-9240	3840	13452	141	-30	-164	-16612	252	756	3	-98	121	-16112	1124	3332	154	42	-80	125	128	8
-10436	-3092	11708	-125	155	-211	-16004	-2224	-776	-10	-114	-72	-15124	-644	-5696	-24	-116	5	-9340	3808	13448	131	-26	-129	-16768	372	764	45	-130	134	-16084	1128	3220	213	-34	-35	125	128	8
-10340	-2932	11656	-122	138	-201	-16056	-2264	-908	3	-93	-128	-15296	-800	-5636	8	-148	66	-9332	3800	13472	140	-58	-128	-16732	416	760	-16	-122	121	-16172	1220	3312	144	-34	62	125	128	8
-10340	-2960	11772	-139	140	-217	-16056	-2212	-820	-109	-124	-65	-15316	-832	-5468	17	-156	57	-9176	3868	13400	126	-6	-131	-16740	448	872	-9	-100	85	-16284	1276	3340	186	5	45	125	128	8
-10240	-2980	11656	-103	179	-212	-16004	-2324	-652	-85	-121	-94	-15208	-712	-5484	23	-122	86	-9220	3788	13476	157	-52	-141	-16708	224	936	102	-119	136	-16148	1192	3304	113	-25	41	125	129	8
-10220	-3004	11592	-153	175	-232	-15924	-2348	-704	78	-126	-128	-15260	-728	-5296	85	-178	129	-9248	3788	13440	140	-15	-139	-16696	236	852	230	-122	155	-16152	1208	3388	92	-44	-3	125	129	8
-10348	-3044	11700	-116	110	-195	-15952	-2332	-696	70	-23	-101	-15216	-764	-5516	131	-155	125	-9152	3832	13416	181	-66	-146	-16680	376	816	303	-105	176	-16136	1160	3476	191	-72	-17	125	129	8
-10332	-3028	11668	-120	98	-208	-16052	-2412	-740	76	-39	-122	-15252	-832	-5432	120	-128	148	-9320	3796	13500	138	-28	-160	-16732	468	1008	140	-108	137	-16136	1300	3560	264	-37	12	125	128	8
-10380	-2944	11652	-74	114	-206	-16044	-2416	-836	103	-56	-65	-15312	-944	-5496	110	-94	180	-9192	3808	13420	148	-26	-164	-16748	416	880	34	-84	137	-16148	1276	3548	282	11	28	125	129	8
-10328	-3012	11796	-66	148	-184	-16092	-2292	-788	34	-76	-68	-15300	-820	-5564	158	-109	153	-9244	3800	13332	163	-15	-186	-16704	324	1004	11	-58	143	-16180	1356	3540	220	-42	9	125	129	8
-10260	-2976	11712	-95	137	-177	-16004	-2280	-736	63	-21	-52	-15276	-772	-5412	88	-155	190	-9324	3740	13396	153	-38	-131	-16652	316	1056	162	-53	157	-16144	1320	3532	259	0	38	125	129	8
-10292	-2948	11740	-92	138	-192	-15996	-2276	-824	-25	3	-8	-15272	-684	-5384	67	-148	183	-9268	3808	13560	153	-4	-164	-16712	416	984	256	-4	105	-16216	1208	3508	280	-16	16	125	129	8
-10356	-2996	11600	-114	98	-197	-16000	-2296	-668	44	24	-6	-15240	-708	-5476	43	-90	182	-9164	3828	13476	154	14	-183	-16668	372	1172	277	43	132	-16148	1228	3440	370	-19	3	125	129	8
-10308	-3024	11568	-57	134	-178	-15996	-2312	-836	128	18	-51	-15192	-824	-5532	51	-105	136	-9216	3800	13328	158	18	-159	-16604	392	1084	177	51	76	-16092	1252	3472	473	-42	11	125	129	8
-10340	-2960	11724	-111	131	-160	-16020	-2188	-672	46	52	-33	-15200	-816	-5616	84	-108	93	-9252	3780	13440	138	-20	-165	-16708	496	992	79	32	104	-16152	1348	3392	387	-13	34	125	129	8
-10324	-2840	11736	-49	111	-184	-16020	-2236	-804	-88	38	-73	-15212	-704	-5604	36	-130	176	-9268	3704	13444	141	-70	-205	-16620	476	828	-4	81	83	-16116	1404	3292	182	-16	106	125	129	8
-10360	-2908	11692	-72	73	-169	-16100	-2308	-856	-43	-11	-27	-15132	-808	-5620	45	-143	163	-9216	3700	13424	118	-1	-188	-16768	272	848	-17	88	72	-16184	1392	3288	66	-48	69	125	129	8
-10248	-2936	11620	-71	87	-211	-15972	-2268	-856	8	4	-31	-15200	-772	-5696	51	-130	161	-9148	3868	13608	108	-60	-190	-16704	288	988	43	112	32	-16184	1256	3180	17	-36	51	125	129	8
-10300	-3112	11688	-38	86	-177	-16016	-2220	-708	55	3	-36	-15136	-692	-5692	62	-165	162	-9256	3648	13516	123	17	-146	-16644	252	768	-34	82	30	-16084	1144	3456	-35	-130	49	125	129	8
-10264	-2920	11740	-74	138	-166	-16000	-2232	-712	6	-43	-61	-15184	-716	-5624	82	-166	135	-9244	3960	13436	148	-71	-152	-16664	216	992	138	92	102	-16192	1188	3392	100	-178	30	125	130	8
-10292	-2960	11696	-83	80	-165	-16144	-2304	-928	26	-74	-52	-15220	-636	-5708	98	-111	156	-9196	3748	13440	124	-35	-148	-16768	384	884	203	74	98	-16168	1120	3408	170	-191	46	125	129	8
-10288	-2936	11660	-131	121	-200	-16032	-2216	-960	85	-46	-48	-15120	-664	-5820	95	-155	137	-9132	3700	13444	130	-37	-126	-16752	328	720	36	98	116	-16244	1124	3132	308	-89	61	125	130	8
-10196	-2960	11712	-75	145	-187	-15996	-2248	-920	42	-64	-47	-15096	-692	-5672	11	-203	180	-9232	3672	13576	166	-34	-184	-16732	296	696	43	58	127	-16088	992	3072	402	17	44	125	130	8
-10348	-3004	11628	-104	119	-197	-16072	-2292	-920	63	-99	-91	-15212	-708	-5600	128	-209	163	-9312	3776	13340	141	0	-174	-16688	168	724	33	-110	186	-15972	1072	3088	403	27	74	125	129	8
-10300	-3004	11616	-69	136	-184	-15988	-2292	-780	41	-113	-38	-15184	-852	-5452	171	-164	134	-9236	3768	13516	192	15	-128	-16660	236	692	118	-101	240	-16020	1236	3152	411	13	84	125	130	8
-10252	-2996	11744	-96	141	-181	-16096	-2276	-728	14	-106	15	-15372	-792	-5464	79	-102	143	-9144	3872	13468	152	-78	-144	-16660	412	820	238	-134	227	-16108	1476	3192	283	5	134	125	129	8
-10284	-3032	11636	-103	121	-163	-16044	-2284	-680	1	-106	-55	-15348	-848	-5504	29	-149	191	-9220	3864	13480	160	-16	-142	-16724	488	832	207	-160	221	-16132	1472	3300	240	85	147	125	130	8
-10276	-2984	11736	-74	168	-162	-16008	-2368	-704	69	-71	-13	-15232	-708	-5464	9	-91	199	-9304	3736	13540	193	-51	-143	-16712	392	932	66	-160	211	-16140	1452	3444	136	90	42	125	130	8
-10296	-2864	11716	-110	108	-187	-16040	-2260	-804	77	-79	-45	-15236	-660	-5468	132	-106	177	-9208	3788	13264	160	-50	-135	-16708	424	988	-9	-135	190	-16080	1492	3540	156	62	13	125	130	8
-10384	-2944	11648	-88	109	-195	-15936	-2136	-820	13	-48	8	-15236	-692	-5512	100	-146	167	-9256	3760	13496	168	-19	-137	-16688	392	1032	102	-66	175	-16112	1412	3676	156	80	-62	125	131	8
-10332	-2992	11696	-102	125	-202	-16000	-2152	-832	-32	-25	-4	-15224	-732	-5520	133	-154	196	-9236	3836	13480	168	-97	-126	-16612	428	980	109	-38	144	-16100	1252	3656	199	25	-33	125	130	8
-10328	-2976	11672	-95	141	-196	-16084	-2356	-700	116	-17	-47	-15240	-712	-5528	129	-140	204	-9152	3864	13472	149	-66	-142	-16640	484	1108	150	6	153	-16144	1236	3752	306	-24	-14	125	130	8
-10320	-2940	11668	-97	109	-190	-15932	-2212	-656	196	-6	-29	-15148	-708	-5548	109	-122	137	-9264	3836	13384	135	-29	-181	-16692	584	1032	119	-20	116	-16068	1308	3604	327	-27	97	125	131	8
-10380	-3004	11684	-91	110	-210	-15924	-2256	-688	81	-17	-36	-15252	-564	-5460	32	-160	159	-9368	3792	13432	129	-32	-147	-16704	464	904	18	29	64	-16128	1324	3564	307	-27	90	125	131	8
-10356	-2968	11664	-42	55	-147	-16088	-2248	-816	-37	-40	-72	-15244	-652	-5440	8	-152	157	-9204	3776	13444	119	-30	-187	-16772	372	816	54	54	90	-16236	1408	3492	295	-69	73	125	131	8
-10304	-2976	11748	-37	91	-201	-16120	-2260	-892	-107	-38	-1	-15280	-704	-5620	-25	-106	86	-9204	3804	13432	133	-42	-192	-16736	328	772	98	92	91	-16220	1360	3260	254	-67	57	125	130	8
-10212	-2988	11632	-35	148	-170	-15992	-2180	-704	-134	-75	-21	-15208	-784	-5668	-26	-79	104	-9236	3828	13452	123	-43	-192	-16644	376	772	74	56	107	-16120	1416	3240	254	-35	19	125	130	8
-10336	-2976	11624	-112	134	-152	-15960	-2256	-848	-30	-34	-74	-15124	-780	-5576	22	-118	126	-9292	3860	13496	142	-59	-141	-16648	376	796	101	61	106	-16016	1332	3112	179	-15	-4	125	131	8
-10268	-2956	11608	-78	119	-196	-16016	-2252	-932	143	-18	-59	-15244	-728	-5588	69	-133	163	-9228	3808	13532	159	-82	-144	-16736	356	744	96	15	76	-16056	1436	3244	152	-31	-32	125	131	8
-10316	-2996	11752	-100	114	-205	-16016	-2124	-844	126	-17	-21	-15304	-740	-5544	103	-125	135	-9244	3884	13524	141	-78	-192	-16680	400	832	8	-10	102	-16124	1328	3224	103	29	30	125	131	8
-10260	-2972	11808	-68	70	-232	-16020	-2188	-760	-10	-44	-37	-15288	-648	-5620	64	-151	156	-9168	3860	13328	154	-92	-160	-16732	268	860	20	-5	102	-16200	1260	3376	71	53	-22	125	130	8
-10220	-2996	11712	-118	129	-171	-16044	-2296	-736	-45	-55	-48	-15204	-664	-5404	-31	-107	149	-9296	3796	13340	184	-71	-172	-16660	356	684	97	-51	142	-16148	1300	3356	69	23	-25	125	130	8
-10244	-2912	11680	-74	121	-184	-16020	-2252	-864	-14	-20	-76	-15248	-704	-5592	6	-108	121	-9232	3784	13496	140	-27	-158	-16772	296	708	73	-42	100	-16028	1172	3384	84	54	21	125	130	8
-10360	-2984	11692	-87	108	-186	-15964	-2180	-968	-37	-73	-61	-15236	-772	-5616	43	-109	128	-9308	3796	13456	132	-45	-152	-16740	328	792	49	-102	155	-16076	1184	3384	104	22	30	125	130	8
-10356	-2980	11672	-73	104	-225	-16064	-2208	-928	-22	-55	-70	-15200	-708	-5664	-13	-96	147	-9192	3816	13436	155	-71	-136	-16748	360	904	52	-99	126	-16184	1224	3584	163	65	37	125	130	8
-10288	-2972	11784	-96	126	-175	-16072	-2252	-748	-78	-103	-67	-15284	-800	-5752	-23	-127	151	-9220	3804	13396	146	-34	-149	-16648	336	928	81	-80	153	-16172	1280	3508	208	37	-31	125	130	8
-10276	-2948	11684	-110	116	-174	-15956	-2300	-768	46	-48	-93	-15288	-712	-5504	68	-130	163	-9288	3760	13492	127	-33	-163	-16740	392	968	139	-50	122	-16164	1320	3420	301	-8	1	125	130	8
-10400	-3016	11616	-101	121	-205	-16112	-2304	-712	-18	-69	-25	-15220	-740	-5596	76	-99	126	-9352	3876	13420	132	-31	-152	-16692	424	872	82	-50	125	-16204	1356	3496	246	0	29	125	130	8
-10300	-2984	11680	-99	121	-206	-16032	-2256	-804	59	-73	-113	-15264	-688	-5504	79	-122	109	-9296	3808	13448	129	-51	-185	-16704	448	768	101	15	125	-16184	1384	3412	260	-72	41	125	130	8
-10204	-2948	11648	-103	139	-169	-16024	-2168	-720	-13	-33	-31	-15248	-720	-5540	49	-133	131	-9312	3752	13384	178	-59	-177	-16644	376	796	118	-16	112	-16084	1408	3428	278	-40	50	125	129	8
-10332	-2964	11608	-85	111	-208	-16032	-2276	-764	9	-47	-72	-15304	-732	-5484	43	-124	116	-9240	3776	13456	98	-93	-163	-16756	408	732	83	-53	98	-16152	1384	3404	202	4	40	125	130	8
-10336	-2948	11712	-108	94	-201	-15960	-2316	-736	84	-30	-71	-15220	-720	-5648	24	-122	134	-9268	3780	13324	117	-68	-172	-16696	396	864	105	-47	120	-16112	1412	3292	122	5	29	125	129	8
-10280	-3008	11656	-100	120	-190	-16092	-2216	-844	64	-67	-49	-15260	-784	-5472	55	-135	95	-9216	3820	13448	120	7	-151	-16736	380	796	9	-23	82	-16116	1412	3400	80	-37	18	125	130	8
-10284	-2972	11752	-105	107	-190	-16004	-2128	-752	-79	-67	-25	-15220	-648	-5600	-43	-99	114	-9232	3836	13276	119	-55	-164	-16712	320	748	-15	-10	111	-16200	1292	3372	59	44	1	125	129	8
-10256	-2944	11760	-86	133	-184	-16016	-2208	-812	-102	-60	-66	-15220	-700	-5596	-50	-132	112	-9260	3780	13480	142	-27	-179	-16672	272	932	69	-92	131	-16032	1236	3392	156	-12	-56	125	129	8
-10268	-2948	11732	-90	140	-209	-15960	-2284	-660	-74	-69	-46	-15228	-756	-5480	34	-123	80	-9268	3756	13428	123	-18	-180	-16736	376	916	221	-81	112	-16044	1236	3380	185	35	-62	125	130	8
-10336	-2988	11748	-91	109	-191	-16012	-2292	-768	62	-22	-53	-15252	-736	-5504	42	-117	86	-9304	3884	13380	111	-6	-145	-16664	488	796	107	-59	78	-16156	1352	3360	150	9	1	125	129	8
-10324	-2996	11696	-55	117	-175	-16100	-2224	-692	143	-50	-40	-15340	-780	-5616	63	-83	122	-9408	3728	13472	149	-33	-164	-16648	440	808	9	-54	108	-16104	1336	3508	137	16	7	125	129	8
-10308	-2992	11652	-71	144	-181	-16104	-2132	-892	7	-33	-39	-15344	-732	-5580	-38	-44	131	-9192	3888	13404	118	-11	-159	-16792	276	900	41	-67	50	-16244	1260	3404	144	-19	56	125	129	8
-10352	-2924	11540	-126	145	-164	-16056	-2296	-840	-59	-74	-62	-15276	-668	-5544	82	-68	144	-9332	3740	13468	127	-56	-187	-16656	240	936	141	9	115	-16108	1224	3444	201	-20	16	125	128	8
-10304	-3064	11696	-98	161	-197	-15992	-2284	-924	1	-52	-53	-15168	-676	-5476	62	-138	94	-9148	3796	13440	133	-30	-164	-16736	396	944	249	-41	110	-16120	1276	3364	321	22	-35	125	129	8
-10352	-3012	11748	-107	127	-193	-15936	-2224	-808	23	-28	-58	-15236	-648	-5496	85	-130	91	-9228	3844	13248	133	-36	-161	-16664	572	908	114	-4	130	-16212	1308	3544	298	24	-34	126	129	8
-10284	-2956	11712	-81	133	-217	-16020	-2196	-612	53	-20	-95	-15256	-704	-5540	30	-146	89	-9292	3820	13288	97	-48	-164	-16620	484	776	-19	-49	75	-16020	1416	3292	265	26	32	125	128	8
-10344	-2896	11604	-103	92	-221	-16040	-2256	-808	-6	4	-87	-15236	-700	-5596	43	-146	127	-9284	3800	13396	131	-56	-154	-16612	320	684	-55	-27	72	-16012	1368	3356	145	-6	8	125	128	8
-10368	-2948	11688	-90	99	-171	-15968	-2244	-796	-19	10	-73	-15216	-808	-5608	-15	-122	103	-9328	3828	13456	122	-78	-169	-16740	236	720	120	-53	92	-16104	1308	3356	78	-25	-3	126	128	8
-10312	-2968	11744	-113	88	-202	-16012	-2244	-844	-15	-29	-78	-15256	-732	-5500	33	-116	123	-9196	3800	13372	147	-71	-173	-16792	328	800	258	-73	130	-16132	1316	3440	74	-28	-10	125	128	8
-10324	-2920	11704	-84	122	-184	-16116	-2252	-868	7	-69	-56	-15252	-656	-5640	41	-116	83	-9280	3816	13396	134	0	-166	-16680	456	768	110	-40	132	-16276	1248	3288	105	77	-4	126	128	8
-10312	-2952	11760	-84	142	-203	-15992	-2200	-856	-1	-76	-78	-15260	-756	-5644	71	-140	116	-9188	3836	13428	148	10	-134	-16664	408	740	-70	-59	130	-16128	1300	3348	180	112	-9	126	128	8
-10272	-2912	11696	-96	129	-199	-16096	-2232	-836	-105	-112	-47	-15228	-724	-5468	65	-103	130	-9280	3816	13300	121	-60	-106	-16648	324	920	-94	-88	103	-15964	1192	3304	142	31	-9	126	127	8
-10260	-2936	11748	-127	114	-182	-15996	-2300	-684	-35	-12	-108	-15296	-804	-5384	90	-112	102	-9280	3836	13468	151	-66	-171	-16688	308	900	109	-106	120	-16096	1324	3364	198	77	-26	126	127	8
-10296	-3028	11684	-116	151	-207	-15964	-2296	-672	90	-34	-37	-15284	-788	-5384	43	-86	103	-9288	3808	13332	133	-19	-161	-16680	440	884	210	-98	121	-16104	1296	3544	162	61	-11	126	127	8
-10352	-3008	11768	-110	119	-196	-16020	-2236	-696	59	-56	-68	-15268	-800	-5476	-4	-87	108	-9288	3844	13508	152	-86	-190	-16740	568	1012	62	-54	100	-16220	1336	3544	153	32	14	126	127	8
-10284	-2984	11676	-92	93	-185	-16044	-2232	-892	-11	-14	-47	-15240	-672	-5684	-4	-56	116	-9196	3820	13456	114	-61	-176	-16720	364	996	13	-60	75	-16252	1356	3512	153	-21	16	126	127	8
-10276	-3068	11624	-108	118	-178	-16052	-2216	-780	-93	-36	-47	-15284	-736	-5660	-45	-82	69	-9248	3832	13436	119	-40	-130	-16648	320	964	33	-33	84	-16164	1232	3600	157	18	-19	126	127	8
-10340	-2960	11712	-104	128	-191	-15932	-2296	-808	-42	-40	-45	-15204	-760	-5548	44	-136	112	-9308	3808	13372	125	-72	-132	-16672	384	992	136	-5	72	-16120	1244	3484	148	-13	-41	126	127	8
-10276	-2964	11792	-57	114	-195	-16032	-2268	-780	70	-43	-49	-15212	-776	-5616	31	-112	102	-9316	3784	13332	149	-45	-178	-16716	376	848	85	45	109	-16164	1220	3432	194	3	-51	126	127	8
