#Activity	sitting standing_up standing sitting_down sitting standing_up standing sitting_down 
#ActivityID	5 7 8 6 5 7 8 6 
#Date 10-10-18-31
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10588	-3432	11456	-101	137	-174	-15460	-2176	-4344	9	-91	-96	-3404	-2612	16128	42	-98	141	-9452	3728	13348	143	-65	-141	-16048	84	-4188	68	-66	83	-1956	2548	16804	123	13	52	126	127	5
-10540	-3408	11304	-68	95	-212	-15416	-2224	-4308	41	-60	-41	-3332	-2568	16280	41	-125	136	-9500	3708	13452	154	4	-157	-16132	108	-4164	73	-40	128	-1928	2592	16784	213	-1	15	126	127	5
-10628	-3416	11380	-91	113	-168	-15516	-2168	-4336	6	-63	-75	-3412	-2540	16196	13	-115	120	-9476	3744	13400	120	-19	-154	-16052	84	-4224	62	-43	136	-1932	2648	16752	175	-21	39	126	127	5
-10568	-3440	11408	-74	131	-200	-15460	-2168	-4292	-33	-70	-63	-3336	-2656	16212	10	-124	155	-9424	3696	13376	148	-2	-177	-16060	104	-4164	96	-27	133	-1844	2652	16840	192	7	3	126	127	5
-10584	-3420	11420	-69	143	-158	-15392	-2156	-4220	-54	-70	-68	-3292	-2628	16292	13	-106	158	-9452	3796	13348	147	-24	-155	-16152	124	-4356	69	-17	144	-1876	2600	16680	181	-4	18	126	127	5
-10576	-3416	11464	-104	131	-184	-15492	-2252	-4268	-15	-48	-64	-3308	-2716	16228	2	-92	141	-9440	3752	13312	152	-48	-171	-16108	108	-4272	46	-66	147	-1868	2608	16884	179	9	30	126	127	5
-10544	-3440	11316	-61	117	-154	-15484	-2280	-4360	66	-14	-59	-3312	-2736	16260	38	-83	136	-9380	3740	13340	154	-42	-163	-16100	144	-4272	62	-9	149	-1880	2644	16848	201	-2	-12	126	127	5
-10660	-3444	11464	-88	121	-156	-15492	-2196	-4336	20	-11	-36	-3376	-2568	16180	34	-99	108	-9468	3752	13340	149	13	-190	-16036	132	-4236	105	10	127	-1904	2632	16796	189	2	-28	126	127	5
-10576	-3396	11316	-104	167	-196	-15428	-2276	-4320	16	-17	-43	-3388	-2640	16160	20	-116	160	-9472	3768	13304	187	-41	-150	-16096	64	-4296	72	-12	126	-1932	2680	16908	172	-17	-18	126	127	5
-10596	-3440	11380	-63	124	-156	-15452	-2264	-4284	-18	16	-25	-3396	-2652	16268	15	-121	120	-9504	3744	13488	121	-32	-204	-16072	164	-4252	76	-6	96	-1988	2616	16836	157	-8	34	126	127	5
