#Activity	down_by_elevator up_by_elevator standing up_by_elevator standing up_by_elevator standing down_by_elevator standing down_by_elevator standing 
#ActivityID	11 10 8 10 8 10 8 11 8 11 8 
#Date 10-10-18-24
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10140	-2940	11932	-66	89	-158	-16248	272	652	236	-23	-46	-16004	1268	-2500	179	-50	200	-8980	3448	13568	137	8	-181	-16676	-120	732	104	-40	176	-16036	-692	-2680	266	-21	126	126	129	11
-10100	-2988	11908	-73	91	-203	-16296	452	604	146	-57	-2	-16024	1364	-2480	131	-135	226	-9012	3500	13880	196	-50	-160	-16728	-108	744	176	-48	171	-15924	-664	-2764	290	-33	101	125	129	11
-10036	-2896	11852	-101	135	-191	-16216	324	624	-31	-89	-36	-16060	1368	-2396	108	-176	235	-9084	3364	13816	150	-36	-161	-16680	-148	668	159	-64	176	-16012	-508	-2592	250	24	67	126	129	11
-10112	-2932	11888	-99	116	-154	-16264	240	616	30	-92	-50	-16028	1276	-2272	135	-179	182	-8916	3416	13696	155	-16	-134	-16752	16	824	38	-57	61	-16092	-376	-2556	149	71	77	125	129	11
-10108	-3096	11892	-78	110	-114	-16328	316	940	-67	-54	-62	-16120	1204	-2312	136	-239	132	-9024	3472	13628	158	-72	-160	-16692	-4	836	-155	-29	76	-16248	-224	-2520	82	136	65	125	129	11
-10104	-2888	11756	-101	169	-110	-16204	540	1112	-81	14	-176	-16240	1384	-2132	303	-445	215	-9044	3448	13772	136	-69	-137	-16648	-128	840	-159	40	49	-16156	-360	-2592	122	37	22	125	129	11
-10068	-3076	11972	-100	203	-107	-16276	68	1036	-23	142	-62	-16316	1368	-2016	394	-535	144	-9080	3484	13828	132	10	-210	-16808	-188	724	74	50	61	-16116	-468	-2424	200	59	-9	125	129	11
-10072	-2892	12008	-110	220	-86	-16340	312	656	232	64	-88	-16084	1352	-2136	140	-375	201	-9072	3512	13776	96	-12	-185	-16656	-20	720	83	41	63	-16132	-752	-2652	145	93	9	125	129	11
-9952	-2952	12104	-126	219	-95	-16364	256	980	319	182	-32	-16136	1312	-2352	58	-341	223	-9112	3484	13776	119	-25	-177	-16716	-176	904	-55	93	-19	-16196	-592	-2788	14	107	19	125	129	11
-10104	-3072	12156	-120	251	-68	-16280	176	528	322	246	32	-16156	1368	-2384	113	-414	207	-9100	3500	13644	92	-11	-200	-16736	-292	792	-13	67	18	-16056	-620	-2764	72	63	10	125	129	11
-10128	-3088	12024	-77	157	-40	-16240	220	564	302	227	29	-16016	1252	-2328	65	-295	163	-9016	3412	13676	113	-28	-169	-16548	-232	744	117	124	70	-15976	-704	-2760	237	-48	36	125	129	11
-10260	-2972	11700	-1	218	-67	-16072	-172	436	599	211	65	-16056	1224	-2416	237	-503	84	-8952	3496	13808	147	-51	-166	-16704	-148	824	95	113	47	-15964	-648	-2780	234	-59	31	125	129	11
-10112	-3024	11808	-48	283	-61	-16344	312	520	957	213	105	-15984	1340	-2588	136	-278	21	-9100	3236	13808	85	-125	-214	-16628	-272	696	-41	125	63	-16076	-632	-2832	252	-107	107	125	129	11
-10044	-2936	12128	-64	164	-90	-16316	848	260	550	177	0	-15992	1408	-2756	-1	-182	62	-9092	3348	13732	114	-89	-171	-16652	-264	624	104	79	75	-16016	-756	-2824	358	-67	154	125	129	11
-10828	-3196	12268	-18	152	-44	-16172	368	412	-381	177	21	-15828	1388	-2820	-396	-269	131	-9100	3408	13736	108	-55	-178	-16732	-356	444	180	111	117	-15896	-768	-2888	552	-75	93	125	129	11
-10172	-2900	11844	-83	212	-144	-16180	484	-72	-142	127	-23	-15828	1444	-2896	-134	-351	138	-9076	3288	13880	152	11	-120	-16700	-132	804	406	21	138	-16072	-524	-3024	477	-108	123	125	129	11
-10224	-2880	11840	-47	197	-134	-16304	384	280	98	7	11	-16084	1324	-2672	56	-374	147	-8996	3456	13708	160	-40	-146	-16732	-296	608	184	34	183	-15912	-544	-2984	367	-70	184	126	129	11
-10200	-2824	11936	-76	151	-173	-16228	408	432	266	-55	14	-16012	1360	-2496	215	-328	179	-9104	3184	13732	141	-29	-167	-16696	-340	468	161	-9	212	-15904	-600	-3060	299	-69	141	125	129	11
-10100	-2836	11780	-111	121	-227	-16148	388	352	186	8	-16	-16016	1344	-2392	319	-298	163	-9028	3536	13808	136	-56	-110	-16732	-348	504	189	-66	211	-15800	-424	-2896	57	-5	48	125	129	11
-10112	-2876	11864	-96	138	-228	-16276	452	556	60	-44	0	-15988	1360	-2476	183	-301	173	-9128	3356	13732	120	-59	-156	-16732	-76	740	-56	-93	254	-16036	-356	-2812	-156	104	29	125	128	11
-10124	-2904	11988	-96	119	-197	-16232	408	472	-49	-70	-7	-16024	1312	-2448	112	-339	178	-8944	3564	13812	119	-45	-115	-16740	-88	804	-179	-52	183	-16044	-168	-2636	-417	90	32	125	128	11
-10204	-2880	11800	-85	80	-218	-16300	360	520	-130	-144	18	-15976	1288	-2408	111	-248	78	-9024	3276	13596	165	-76	-184	-16632	-164	692	-260	-133	191	-16088	-92	-2596	-408	129	58	125	128	11
-10016	-2940	11812	-107	98	-236	-16212	448	612	-85	-124	-21	-15980	1412	-2320	64	-234	101	-9048	3548	13712	141	-47	-173	-16784	-60	796	-31	-35	143	-16184	-512	-2424	82	-2	-93	125	129	11
-10160	-2920	11952	-88	131	-222	-16212	520	700	-165	-167	-50	-16004	1428	-2184	34	-261	120	-9100	3448	13680	151	-44	-130	-16712	-108	752	36	-23	127	-16180	-720	-2528	329	36	-65	126	129	11
-10068	-2988	12080	-120	76	-190	-16252	400	776	-222	-138	-48	-16224	1516	-2104	-189	-193	107	-8884	3468	13860	102	-81	-174	-16868	-76	724	190	-42	109	-16136	-616	-2640	335	48	11	126	129	11
-10176	-2940	11780	-107	136	-180	-16360	208	792	-91	-76	-51	-16148	1392	-2016	-349	33	117	-9060	3484	13560	149	-7	-183	-16652	-416	748	205	-77	104	-16040	-528	-2548	90	65	61	126	129	11
-10116	-2980	11920	-103	142	-162	-16240	328	628	128	-23	-56	-16132	1280	-2188	-227	7	22	-8948	3436	13732	99	15	-181	-16768	-92	976	324	-18	123	-16152	-568	-2496	118	61	59	126	129	11
-10060	-3004	11804	-93	167	-160	-16144	424	576	34	-7	-62	-16064	1288	-2212	-180	-13	53	-9160	3656	13656	168	-52	-148	-16608	-8	800	-3	27	93	-16156	-504	-2532	137	74	19	126	129	11
-10064	-2844	11924	-96	144	-157	-16208	512	552	-79	-33	-57	-16040	1312	-2176	-58	-150	107	-9040	3328	13740	100	-19	-170	-16688	-68	704	-215	87	99	-16112	-420	-2704	333	38	4	126	129	11
