#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking going_up 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 3 
#Date 10-21-15-46
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-5648	-4988	15020	114	-100	-158	-15944	2656	-1348	-450	-356	-232	-15880	696	-2456	-14	5	-21	-7452	3824	13744	-184	1	-192	-16408	464	-1080	107	233	0	-15112	1588	-4848	-278	-123	-29	123	125	8
-5632	-5008	14976	111	-119	-140	-15932	2552	-1336	-380	-342	-251	-16200	760	-2016	-20	-24	-22	-7408	3940	13700	-190	-61	-152	-16652	584	-948	88	103	38	-15276	1516	-5004	-266	-145	-88	123	125	8
-5564	-5060	14920	163	-127	-177	-16012	2568	-1160	-249	-284	-324	-16360	984	-2096	1	-22	-31	-7276	3824	13692	-124	-111	-76	-16600	416	-776	-93	70	44	-15516	1348	-4688	-342	-156	-134	123	125	8
-5584	-4988	14916	210	-82	-145	-16052	2624	-1036	-79	-232	-289	-16312	960	-1864	-6	-20	-32	-7320	3952	13700	-111	-62	-52	-16760	680	-876	-84	-53	123	-15652	1512	-4616	-513	-80	-171	123	125	8
-5500	-4912	14908	146	-66	-156	-16076	2732	-1184	-68	-176	-293	-16176	848	-1984	-15	-8	-36	-7260	4084	13652	-79	7	-81	-17068	900	-800	-279	-160	129	-15680	1820	-4732	-688	106	-80	123	125	8
-5544	-4976	14872	139	-20	-126	-16180	2560	-1444	-96	-181	-316	-16248	632	-2224	1	10	-41	-7332	4012	13784	-107	98	-166	-16900	728	-908	-379	-243	50	-15528	1788	-4692	-884	252	-37	122	125	8
-5588	-4976	14868	141	-92	-139	-15952	2560	-1312	-208	-143	-348	-16216	536	-2184	23	13	-45	-7376	3864	13624	-115	86	-132	-16596	552	-884	-39	-300	82	-15496	1580	-4448	-611	90	-111	122	125	8
-5636	-4988	14980	165	-113	-169	-15944	2588	-1052	-188	-133	-313	-16168	640	-2096	23	-4	-37	-7380	3968	13652	-153	-4	-155	-16488	720	-812	211	-380	124	-15228	1548	-4468	-236	52	-43	122	125	8
-5504	-4900	14948	170	-112	-152	-15972	2540	-1080	-97	-34	-312	-16224	800	-1896	19	-5	-39	-7380	3924	13792	-152	-4	-108	-16716	824	-800	213	-415	85	-15612	1488	-4384	15	-92	-64	123	125	8
-5448	-4976	14812	173	-116	-155	-16164	2376	-1048	221	-28	-310	-16240	632	-2264	37	-21	-29	-7308	3932	13632	-139	-45	-132	-16772	632	-592	242	-445	48	-15796	1276	-4308	177	-125	-36	123	125	8
-5456	-5020	15004	105	-3	-137	-16352	2528	-1496	527	-37	-341	-16288	424	-2456	71	12	-35	-7400	3856	13748	-141	7	-112	-16780	540	-624	282	-409	52	-15832	1224	-4172	300	-166	-62	122	125	8
-5540	-4968	14968	79	1	-114	-16156	2600	-1308	229	-42	-306	-16304	560	-2216	82	23	-35	-7344	3912	13804	-105	-42	-89	-16576	604	-568	378	-436	67	-15464	1196	-4248	389	-188	-31	121	125	8
-5596	-4916	14968	148	-30	-128	-15840	2444	-1184	206	-21	-366	-15928	520	-2144	67	5	-28	-7304	3924	13696	-134	-57	-47	-16696	740	-492	200	-356	50	-15732	1408	-4252	275	-253	50	123	125	8
-5532	-5036	14916	194	-67	-111	-15764	2376	-1156	251	90	-332	-16024	568	-2144	70	-16	-28	-7228	3964	13744	-110	-67	-71	-16776	852	-668	0	-365	12	-15796	1560	-4304	145	-242	116	124	125	8
-5488	-4960	15012	220	-99	-130	-16040	2416	-1096	303	158	-336	-16264	560	-1816	90	-29	-31	-7324	3988	13772	-181	-55	-91	-16708	664	-820	-131	-339	-11	-15768	1560	-4352	95	-121	149	123	125	8
-5520	-4960	14916	193	-16	-122	-16216	2448	-996	573	210	-275	-16376	696	-2112	108	-23	-30	-7216	3832	13792	-139	-99	-71	-16680	524	-784	111	-368	76	-15428	1504	-4524	287	-134	86	124	125	8
-5508	-5024	14972	170	0	-79	-16168	2324	-1236	848	204	-317	-16360	664	-2008	104	-16	-32	-7168	4076	13856	-114	-89	-74	-16780	640	-640	246	-510	54	-15324	1652	-4688	441	-202	-56	124	125	8
-5612	-4912	14920	171	-37	-69	-15928	2484	-1176	705	267	-318	-16264	624	-1864	98	-28	-33	-7292	3928	13752	-102	-39	-59	-16976	824	-640	397	-602	68	-15696	1684	-4632	275	-287	-69	124	125	8
-5676	-4984	14984	154	1	-92	-15872	2440	-1444	596	312	-342	-16040	592	-1992	97	-30	-37	-7280	4020	13872	-116	1	-85	-16768	872	-700	243	-653	8	-15700	1592	-4496	198	-356	-29	124	125	8
-5604	-4900	14900	208	-103	-153	-15896	2428	-1380	520	358	-383	-15952	560	-2064	102	-28	-35	-7268	3952	13844	-174	24	-81	-16776	692	-772	379	-707	-52	-15780	1592	-4408	513	-456	-16	124	125	8
-5536	-4920	14920	220	-106	-141	-16024	2364	-1508	625	394	-363	-15968	544	-2296	107	-25	-34	-7284	3908	13760	-166	30	-134	-16764	656	-560	707	-774	-68	-15704	1392	-4404	870	-485	56	124	125	8
-5516	-4924	14992	193	-53	-104	-16212	2564	-1620	783	309	-406	-16240	368	-2792	116	-14	-34	-7324	3916	13832	-161	43	-131	-16620	664	-500	907	-867	-52	-15540	1300	-4208	1111	-504	91	125	125	8
-5600	-4868	14912	114	-29	-155	-16152	2576	-1624	603	233	-439	-16112	344	-2944	122	-2	-36	-7216	3936	13736	-157	44	-151	-16720	768	-448	906	-896	-92	-15672	1404	-4136	1263	-504	91	124	125	8
-5612	-4956	14900	124	-32	-141	-15992	2504	-1820	525	123	-526	-15848	488	-2984	128	4	-39	-7148	3992	13712	-150	54	-158	-16788	696	-240	861	-836	-98	-15880	1424	-4108	1222	-577	80	124	125	8
-5564	-4996	14940	141	-89	-155	-16036	2308	-1624	482	41	-511	-15856	248	-2656	139	1	-42	-7188	3836	13724	-133	68	-187	-16588	580	-188	667	-701	-138	-15864	1184	-3904	1070	-615	5	123	125	8
-5468	-4940	14940	112	-86	-120	-16128	2344	-1504	677	12	-565	-16136	464	-2528	158	-7	-46	-7240	3856	13728	-158	51	-145	-16652	628	-232	503	-665	-125	-15740	1124	-3940	987	-619	-46	124	125	8
-5556	-4980	14876	108	-12	-142	-16188	2500	-1548	847	-31	-592	-16392	464	-2328	170	1	-44	-7304	3800	13904	-50	19	-156	-16784	448	-40	330	-618	-76	-15676	1256	-4136	833	-575	-13	123	125	8
-5532	-4916	15008	86	-21	-146	-16068	2396	-1464	761	-42	-642	-16024	488	-2232	158	-4	-46	-7208	3892	13820	-6	56	-126	-16724	732	-180	192	-595	-61	-15728	1364	-4112	550	-554	-32	123	125	8
-5560	-5008	14892	108	-12	-96	-15972	2244	-1480	805	-33	-703	-16072	288	-2344	159	2	-44	-7104	3976	13748	31	67	-113	-16752	668	-404	147	-536	-152	-15752	1396	-4156	502	-625	-107	123	125	8
-5552	-4924	14984	113	-30	-131	-16012	2232	-1488	829	-30	-636	-16072	216	-2176	170	-3	-54	-7232	4008	13844	-31	84	-173	-16768	648	-224	319	-626	-166	-15764	1420	-4352	577	-686	-98	123	125	8
-5592	-4936	15000	134	-35	-139	-16032	2200	-1428	793	25	-652	-16024	536	-2176	166	-11	-59	-7192	3956	13752	15	113	-147	-16700	636	-276	362	-593	-155	-15668	1388	-4180	713	-793	-144	123	125	8
-5452	-4968	14892	179	-109	-111	-16128	2200	-1488	787	-10	-677	-16128	416	-2056	136	-20	-61	-7172	4004	13912	-75	109	-171	-16784	564	-292	400	-692	-211	-15668	1368	-4184	796	-784	-162	123	126	8
-5512	-4916	14924	108	26	-133	-16120	2292	-1560	769	-8	-695	-16208	520	-1976	125	-18	-63	-7308	3924	13788	-55	86	-171	-16760	484	-316	378	-700	-226	-15564	1224	-4236	747	-632	-168	123	126	8
-5592	-4992	14920	107	-2	-126	-16244	2212	-1504	451	20	-717	-16456	384	-2448	112	-30	-69	-7360	3724	13872	260	-3	-87	-16476	288	184	548	-752	-61	-15316	1040	-4056	948	-566	-244	123	126	8
