#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking going_down standing standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 4 8 8 
#Date 10-21-15-44
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-5972	-5208	14640	69	58	-98	-16252	1204	184	548	78	-54	-16384	-1264	-352	126	35	15	-7456	3576	13764	-82	84	-183	-16616	128	-2164	584	-361	228	-14892	1656	-6128	817	-260	416	125	126	8
-6004	-5248	14640	93	27	-80	-16176	1140	136	562	101	-83	-16176	-1160	-336	141	47	14	-7488	3512	13660	-84	119	-171	-16704	108	-1928	492	-421	227	-14964	1564	-6076	882	-199	428	126	126	8
-5960	-5200	14716	115	-20	-42	-16152	1096	132	710	135	-125	-16232	-1128	-192	165	65	16	-7456	3544	13736	-57	48	-188	-16660	92	-2000	445	-486	266	-14972	1428	-6088	731	-69	414	126	126	8
-5940	-5220	14800	144	-26	-79	-16172	1260	144	429	121	-173	-16136	-1048	-560	156	70	13	-7416	3580	13724	-56	73	-138	-16656	152	-1960	469	-520	249	-14944	1324	-6204	575	42	465	125	126	8
-5976	-5232	14776	130	4	-95	-16256	1232	244	346	151	-203	-16272	-1112	-264	155	65	15	-7412	3648	13728	-41	110	-198	-16704	52	-1912	429	-573	279	-15140	1352	-6100	655	124	550	125	126	8
-5920	-5232	14680	79	29	-128	-16224	1016	76	489	147	-157	-16288	-1264	-464	164	65	11	-7444	3580	13680	-45	119	-166	-16688	148	-1940	394	-583	266	-14896	1348	-6168	717	202	546	125	126	8
-5928	-5200	14736	111	-23	-99	-16124	1080	76	467	208	-125	-16264	-1400	-592	160	65	12	-7456	3536	13772	-47	138	-150	-16708	8	-1980	391	-617	261	-14852	1396	-6220	791	355	505	125	126	8
-5924	-5216	14768	127	-89	-92	-16196	1104	-32	430	183	-116	-16240	-1288	-464	152	58	11	-7452	3484	13776	-2	136	-206	-16628	12	-1888	614	-718	384	-14840	1496	-6244	774	426	504	125	126	8
-5960	-5244	14776	164	-84	-88	-16260	1080	0	280	186	-124	-16248	-1392	-592	133	57	13	-7436	3588	13768	12	125	-160	-16708	184	-1776	572	-772	403	-14888	1464	-6252	705	458	471	125	126	8
-5920	-5256	14800	129	-46	-94	-16284	1040	-192	204	139	-94	-16312	-1296	-720	125	59	15	-7404	3556	13668	-4	180	-141	-16676	88	-1640	632	-834	422	-15068	1464	-6064	619	437	448	125	126	8
